time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-25T06:59:11.330Z,18.8561666666667,-155.192333333333,10.86,3.92,ml,45,263,,0.12,hv,hv72845717,2022-03-05T23:10:38.040Z,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.83,0.165861775497279,36,reviewed,hv,hv
2021-12-24T20:32:42.390Z,18.8705,-155.199833333333,10.35,3.34,ml,44,260,,0.13,hv,hv72845167,2022-03-05T23:10:37.040Z,"45 km ESE of Naalehu, Hawaii",earthquake,0.58,0.47,0.171297458703737,35,reviewed,hv,hv
2021-12-24T19:54:10.260Z,19.2408333333333,-155.389166666667,31.86,3.15,ml,51,141,,0.12,hv,hv72845087,2022-03-05T23:10:37.040Z,"10 km ENE of P?hala, Hawaii",earthquake,0.4,0.55,0.187486507579284,36,reviewed,hv,hv
2021-12-24T11:31:34.390Z,18.8698333333333,-155.234,11.89,4.87,ml,47,261,,0.12,hv,hv72844817,2022-03-05T23:10:36.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.55,0.72,0.176054570504694,39,reviewed,hv,hv
2021-12-24T09:59:55.900Z,19.2078333333333,-155.433666666667,33.59,3.23,ml,49,134,,0.1,hv,hv72844737,2022-03-05T23:10:36.040Z,"4 km E of P?hala, Hawaii",earthquake,0.48,0.53,0.209137802291867,36,reviewed,hv,hv
2021-12-18T03:38:37.450Z,19.2113333333333,-155.418,33.09,2.98,ml,47,143,,0.12,hv,hv72838177,2022-03-01T16:37:21.040Z,"6 km E of P?hala, Hawaii",earthquake,0.39,0.5,0.169449089247229,32,reviewed,hv,hv
2021-12-18T02:43:20.180Z,19.206,-155.428333333333,34.69,3.08,ml,50,139,,0.11,hv,hv72838047,2022-03-01T16:37:21.040Z,"5 km E of P?hala, Hawaii",earthquake,0.4,0.47,0.138903548094842,35,reviewed,hv,hv
2021-12-18T00:25:43.380Z,19.2065,-155.405,32.94,3.3,ml,52,154,,0.12,hv,hv72837852,2022-03-01T16:37:17.040Z,"7 km E of P?hala, Hawaii",earthquake,0.41,0.49,0.172373725485051,30,reviewed,hv,hv
2021-12-17T18:49:47.090Z,19.1721666666667,-155.468833333333,34.14,3.09,ml,52,89,,0.11,hv,hv72837462,2022-03-01T16:37:12.040Z,"3 km SSE of P?hala, Hawaii",earthquake,0.42,0.5,0.19545664283336,36,reviewed,hv,hv
2021-12-17T18:27:10.910Z,19.2215,-155.418333333333,32.59,3.48,ml,54,137,,0.12,hv,hv72837427,2022-03-01T16:37:11.040Z,"Island of Hawaii, Hawaii",earthquake,0.45,0.52,0.156100037278785,37,reviewed,hv,hv
2021-12-17T14:17:40.570Z,19.2026666666667,-155.407666666667,34.59,3.46,ml,52,156,,0.12,hv,hv72837127,2022-03-01T16:37:08.040Z,"7 km E of P?hala, Hawaii",earthquake,0.42,0.5,0.223423261521905,36,reviewed,hv,hv
2021-12-16T22:36:41.560Z,19.9018333333333,-156.7945,1.04,3.6,ml,58,192,,0.15,hv,hv72836222,2022-02-24T21:02:07.040Z,"87 km WNW of Kalaoa, Hawaii",earthquake,1.21,0.34,0.142532606561366,30,reviewed,hv,hv
2021-12-08T18:38:10.090Z,19.1635,-155.475666666667,32.21,3.51,ml,54,101,,0.11,hv,hv72826437,2022-02-12T23:06:58.040Z,"4 km S of P?hala, Hawaii",earthquake,0.4,0.51,0.178060182731838,38,reviewed,hv,hv
2021-12-05T06:43:30.150Z,19.1673333333333,-155.49,36.22,3.51,ml,53,102,,0.11,hv,hv72823622,2022-02-12T23:05:59.040Z,"4 km SSW of P?hala, Hawaii",earthquake,0.39,0.5,0.164165417978894,38,reviewed,hv,hv
2021-12-04T03:02:06.310Z,19.216,-155.407166666667,33.87,3.14,ml,54,146,,0.13,hv,hv72822217,2022-02-12T23:05:47.040Z,"7 km E of P?hala, Hawaii",earthquake,0.46,0.56,0.13926804451136,35,reviewed,hv,hv
2021-12-02T02:03:32.960Z,19.5081666666667,-155.661166666667,4.32,3.26,ml,54,46,,0.12,hv,hv72819152,2022-07-26T14:54:51.211Z,"22 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.23,0.3,0.202740730670905,38,reviewed,hv,hv
2021-11-30T15:03:31.570Z,18.834,-155.197666666667,9.73,3.49,ml,50,266,,0.17,hv,hv72817622,2022-02-05T23:03:31.040Z,"47 km ESE of Naalehu, Hawaii",earthquake,0.64,0.69,0.156109128962756,37,reviewed,hv,hv
2021-11-29T06:47:25.410Z,18.9703333333333,-155.422166666667,33.69,3.51,ml,54,229,,0.12,hv,hv72816147,2022-02-05T23:04:32.040Z,"19 km ESE of Naalehu, Hawaii",earthquake,0.44,0.72,0.162099787226031,40,reviewed,hv,hv
2021-11-28T15:46:33.910Z,19.1825,-155.4775,32.45,3.56,ml,57,79,,0.11,hv,hv72815092,2022-02-05T23:04:27.040Z,"2 km S of P?hala, Hawaii",earthquake,0.39,0.53,0.178054952366802,40,reviewed,hv,hv
