time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-26T02:37:41.380Z,19.4284,-157.1492,10,3.4,ml,,234,1.091,0.59,us,us2000ixxh,2019-03-05T17:46:34.040Z,"122 km W of Kailua-Kona, Hawaii",earthquake,4.7,2,0.051,50,reviewed,us,us
2018-12-18T11:44:16.180Z,19.3263333,-155.1961667,6.58,3.49,ml,27,89,0.05061,0.07,hv,hv70736576,2019-02-23T20:21:18.040Z,"13 km SSE of Volcano, Hawaii",earthquake,0.33,0.84,0.184,45,reviewed,hv,hv
2018-10-23T05:17:31.750Z,20.5131667,-155.143,17.01,3.6,ml,68,235,0.5267,0.18,hv,hv70667462,2019-01-10T17:18:34.040Z,"57 km NNE of Pa‘auilo, Hawaii",earthquake,0.73,14.5,0.161,55,reviewed,hv,hv
2018-10-21T00:40:03.510Z,19.3488333,-155.1061667,7.15,3.83,ml,47,141,0.04019,0.11,hv,hv70664427,2018-12-21T22:27:07.040Z,"13 km SSE of Fern Forest, Hawaii",earthquake,0.34,0.47,0.195,49,reviewed,hv,hv
2018-10-15T16:20:57.720Z,19.945,-155.3038333,10.83,1.67,md,20,127,0.06667,0.13,hv,hv70654482,2018-12-21T22:27:01.040Z,"8 km WSW of Laup?hoehoe, Hawaii",earthquake,0.62,0.42,0.07,7,reviewed,hv,hv
2018-10-14T11:39:52.210Z,18.8715,-155.2341667,10.99,3.87,ml,24,272,0.3553,0.11,hv,hv70651692,2018-12-21T21:15:52.040Z,"42 km ESE of Naalehu, Hawaii",earthquake,0.66,0.65,0.111,58,reviewed,hv,hv
2018-10-09T08:54:50.310Z,19.5173333,-155.6643333,5.76,3.61,ml,57,42,0.03048,0.12,hv,hv70640477,2018-12-21T21:15:47.040Z,"22 km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.24,0.3,0.21,51,reviewed,hv,hv
2018-09-28T10:05:05.430Z,20.1385,-155.7918333,21.93,3.95,ml,80,108,,0.15,hv,hv70617722,2022-11-01T12:27:55.660Z,"10 km S of Kapaau, Hawaii",earthquake,0.44,0.62,0.171,60,reviewed,hv,hv
2018-09-21T11:56:42.620Z,19.3381667,-155.1086667,6.48,3.69,ml,67,143,0.04613,0.11,hv,hv70603737,2018-11-27T15:52:01.040Z,"14 km SSE of Fern Forest, Hawaii",earthquake,0.3,0.23,0.174,57,reviewed,hv,hv
2018-09-15T10:55:24.890Z,20.3826667,-156.9008333,8.37,3.66,ml,44,172,,0.23,hv,hv70594542,2018-11-21T18:19:12.040Z,"49 km S of Lanai City, Hawaii",earthquake,0.43,0.88,0.135,55,reviewed,hv,hv
2018-09-11T18:54:09.200Z,19.7553333,-155.566,17.19,3.34,ml,38,70,,0.15,hv,hv70588612,2019-04-04T21:01:44.340Z,"31 km SE of Waikoloa, Hawaii",earthquake,0.39,0.68,0.187,53,reviewed,hv,hv
