Date,latitude,longitude,mag
737054.0,19.4284,-157.1492,3.4
737046.0,19.3263333,-155.1961667,3.49
736990.0,20.5131667,-155.143,3.6
736988.0,19.3488333,-155.1061667,3.83
736982.0,19.945,-155.3038333,1.67
736981.0,18.8715,-155.2341667,3.87
736976.0,19.5173333,-155.6643333,3.61
736965.0,20.1385,-155.7918333,3.95
736958.0,19.3381667,-155.1086667,3.69
736952.0,20.3826667,-156.9008333,3.66
736948.0,19.7553333,-155.566,3.34
736915.0,19.3703333,-155.0285,4.41
736910.0,19.3898333,-155.268,3.47
736910.0,19.4081667,-155.284,3.35
736910.0,19.4146667,-155.2603333,3.56
736910.0,19.4161667,-155.2738333,3.44
736910.0,19.4135,-155.265,2.62
736910.0,19.3991667,-155.2788333,3.28
736910.0,19.4063333,-155.286,3.35
736910.0,19.3955,-155.2728333,2.89
736910.0,19.4161667,-155.2766667,3.96
736909.0,19.4135,-155.2646667,3.11
736908.0,19.4166667,-155.2743333,3.87
736908.0,19.4175,-155.2705,3.54
736908.0,19.4081667,-155.2606667,3.35
736908.0,19.3658333,-155.278,2.69
736908.0,19.3926667,-155.2726667,3.09
736908.0,19.4136667,-155.2658333,3.53
736908.0,19.4168333,-155.2776667,3.69
736908.0,19.4065,-155.287,3.61
736908.0,19.4111667,-155.284,3.07
736908.0,19.4161667,-155.2706667,3.6
736908.0,19.3998333,-155.2673333,2.72
736908.0,19.4096667,-155.2643333,3.68
736908.0,19.4066667,-155.2861667,3.36
736908.0,19.4155,-155.2755,3.36
736908.0,19.3996667,-155.2735,2.83
736907.0,19.4125,-155.2655,2.92
736907.0,19.4171667,-155.2765,3.28
736907.0,19.4076667,-155.2841667,3.3
736907.0,19.4181667,-155.2761667,3.36
736907.0,19.4136667,-155.266,2.97
736906.0,19.4081667,-155.2843333,3.11
736906.0,19.3978333,-155.2621667,3.37
736906.0,19.4141667,-155.2765,3.66
736906.0,19.4123333,-155.2623333,3.29
736906.0,19.4018333,-155.2895,4.11
736906.0,19.4126667,-155.2845,3.7
736906.0,19.4106667,-155.286,3.08
736906.0,19.396,-155.2791667,3.24
736906.0,19.4068333,-155.2606667,3.61
736906.0,19.3988333,-155.2735,3.43
736906.0,19.4163333,-155.2785,3.27
736906.0,19.4145,-155.2641667,2.81
736906.0,19.4148333,-155.2778333,3.47
736905.0,19.401,-155.2633333,3.27
736905.0,19.4135,-155.2613333,3.12
736905.0,19.4153333,-155.2773333,3.33
736905.0,19.3508333,-155.1226667,4.07
736904.0,19.3911667,-155.2743333,3.65
736904.0,19.42,-155.275,3.86
736904.0,19.412,-155.2643333,3.71
736904.0,19.316,-155.108,1.52
736904.0,19.4,-155.2723333,3.39
736904.0,19.4165,-155.277,3.4
736904.0,19.4095,-155.2846667,3.38
736904.0,19.41,-155.2716667,2.91
736904.0,19.4006667,-155.2736667,3.61
736904.0,19.4135,-155.2778333,2.83
736904.0,19.4128333,-155.2616667,3.12
736904.0,19.4178333,-155.2731667,3.31
