,,Date,latitude,longitude,mag
df_2011-2018-DYFI.csv,0,737054.0,19.4284,-157.1492,3.4
df_2011-2018-DYFI.csv,1,737046.0,19.3263333,-155.1961667,3.49
df_2011-2018-DYFI.csv,2,736990.0,20.5131667,-155.143,3.6
df_2011-2018-DYFI.csv,3,736988.0,19.3488333,-155.1061667,3.83
df_2011-2018-DYFI.csv,4,736982.0,19.945,-155.3038333,1.67
df_2011-2018-DYFI.csv,5,736981.0,18.8715,-155.2341667,3.87
df_2011-2018-DYFI.csv,6,736976.0,19.5173333,-155.6643333,3.61
df_2011-2018-DYFI.csv,7,736965.0,20.1385,-155.7918333,3.95
df_2011-2018-DYFI.csv,8,736958.0,19.3381667,-155.1086667,3.69
df_2011-2018-DYFI.csv,9,736952.0,20.3826667,-156.9008333,3.66
df_2011-2018-DYFI.csv,10,736948.0,19.7553333,-155.566,3.34
df_2011-2018-DYFI.csv,11,736915.0,19.3703333,-155.0285,4.41
df_2011-2018-DYFI.csv,12,736910.0,19.3898333,-155.268,3.47
df_2011-2018-DYFI.csv,13,736910.0,19.4081667,-155.284,3.35
df_2011-2018-DYFI.csv,14,736910.0,19.4146667,-155.2603333,3.56
df_2011-2018-DYFI.csv,15,736910.0,19.4161667,-155.2738333,3.44
df_2011-2018-DYFI.csv,16,736910.0,19.4135,-155.265,2.62
df_2011-2018-DYFI.csv,17,736910.0,19.3991667,-155.2788333,3.28
df_2011-2018-DYFI.csv,18,736910.0,19.4063333,-155.286,3.35
df_2011-2018-DYFI.csv,19,736910.0,19.3955,-155.2728333,2.89
df_2011-2018-DYFI.csv,20,736910.0,19.4161667,-155.2766667,3.96
df_2011-2018-DYFI.csv,21,736909.0,19.4135,-155.2646667,3.11
df_2011-2018-DYFI.csv,22,736908.0,19.4166667,-155.2743333,3.87
df_2011-2018-DYFI.csv,23,736908.0,19.4175,-155.2705,3.54
df_2011-2018-DYFI.csv,24,736908.0,19.4081667,-155.2606667,3.35
df_2011-2018-DYFI.csv,25,736908.0,19.3658333,-155.278,2.69
df_2011-2018-DYFI.csv,26,736908.0,19.3926667,-155.2726667,3.09
df_2011-2018-DYFI.csv,27,736908.0,19.4136667,-155.2658333,3.53
df_2011-2018-DYFI.csv,28,736908.0,19.4168333,-155.2776667,3.69
df_2011-2018-DYFI.csv,29,736908.0,19.4065,-155.287,3.61
df_2011-2018-DYFI.csv,30,736908.0,19.4111667,-155.284,3.07
df_2011-2018-DYFI.csv,31,736908.0,19.4161667,-155.2706667,3.6
df_2011-2018-DYFI.csv,32,736908.0,19.3998333,-155.2673333,2.72
df_2011-2018-DYFI.csv,33,736908.0,19.4096667,-155.2643333,3.68
df_2011-2018-DYFI.csv,34,736908.0,19.4066667,-155.2861667,3.36
df_2011-2018-DYFI.csv,35,736908.0,19.4155,-155.2755,3.36
df_2011-2018-DYFI.csv,36,736908.0,19.3996667,-155.2735,2.83
df_2011-2018-DYFI.csv,37,736907.0,19.4125,-155.2655,2.92
df_2011-2018-DYFI.csv,38,736907.0,19.4171667,-155.2765,3.28
df_2011-2018-DYFI.csv,39,736907.0,19.4076667,-155.2841667,3.3
df_2011-2018-DYFI.csv,40,736907.0,19.4181667,-155.2761667,3.36
df_2011-2018-DYFI.csv,41,736907.0,19.4136667,-155.266,2.97
df_2011-2018-DYFI.csv,42,736906.0,19.4081667,-155.2843333,3.11
df_2011-2018-DYFI.csv,43,736906.0,19.3978333,-155.2621667,3.37
df_2011-2018-DYFI.csv,44,736906.0,19.4141667,-155.2765,3.66
df_2011-2018-DYFI.csv,45,736906.0,19.4123333,-155.2623333,3.29
df_2011-2018-DYFI.csv,46,736906.0,19.4018333,-155.2895,4.11
