,,Date,latitude,longitude,mag
df_2001-2021 EQData.csv,0,737784.0,19.2356666666667,-155.411,3.57
df_2001-2021 EQData.csv,1,737784.0,19.2468333333333,-155.412166666667,3.32
df_2001-2021 EQData.csv,2,737784.0,19.1866666666667,-155.458,1.72
df_2001-2021 EQData.csv,3,737780.0,19.337,-155.111833333333,4.39
df_2001-2021 EQData.csv,4,737780.0,19.3995,-155.284666666667,2.58
df_2001-2021 EQData.csv,5,737778.0,19.1565,-155.512833333333,3.31
df_2001-2021 EQData.csv,6,737777.0,19.4103333333333,-155.297666666667,2.61
df_2001-2021 EQData.csv,7,737773.0,19.865,-155.568,4.36
df_2001-2021 EQData.csv,8,737767.0,19.3516666666667,-155.274,3.25
df_2001-2021 EQData.csv,9,737763.0,19.5126666666667,-155.662666666667,4.06
df_2001-2021 EQData.csv,10,737763.0,19.3813333333333,-155.236666666667,1.54
df_2001-2021 EQData.csv,11,737762.0,19.3911666666667,-155.273666666667,3.12
df_2001-2021 EQData.csv,12,737761.0,19.1763333333333,-155.474666666667,3.16
df_2001-2021 EQData.csv,13,737759.0,19.4101666666667,-155.269166666667,3.25
df_2001-2021 EQData.csv,14,737757.0,19.2465,-155.385333333333,3.0
df_2001-2021 EQData.csv,15,737750.0,19.2401666666667,-155.4085,3.15
df_2001-2021 EQData.csv,16,737750.0,19.239,-155.408666666667,2.07
df_2001-2021 EQData.csv,17,737745.0,19.2278333333333,-155.3895,3.05
df_2001-2021 EQData.csv,18,737742.0,19.9648333333333,-155.569333333333,3.84
df_2001-2021 EQData.csv,19,737731.0,19.2198333333333,-155.394833333333,3.48
df_2001-2021 EQData.csv,20,737729.0,19.2001666666667,-155.496666666667,2.88
df_2001-2021 EQData.csv,21,737727.0,19.422,-155.247833333333,2.77
df_2001-2021 EQData.csv,22,737724.0,19.2208333333333,-155.388666666667,3.51
df_2001-2021 EQData.csv,23,737722.0,19.4188333333333,-155.315333333333,3.5
df_2001-2021 EQData.csv,24,737722.0,19.4231666666667,-155.318666666667,2.3
df_2001-2021 EQData.csv,25,737721.0,19.4196666666667,-155.316833333333,3.04
df_2001-2021 EQData.csv,26,737718.0,19.4193325042725,-155.293670654297,2.23
df_2001-2021 EQData.csv,27,737700.0,19.919,-155.563333333333,3.46
df_2001-2021 EQData.csv,28,737678.0,20.2548333333333,-155.558666666667,2.91
df_2001-2021 EQData.csv,29,737677.0,19.2073333333333,-155.399,3.03
df_2001-2021 EQData.csv,30,737674.0,19.1926666666667,-155.466666666667,3.39
df_2001-2021 EQData.csv,31,737673.0,20.8905,-156.342833333333,3.67
df_2001-2021 EQData.csv,32,737662.0,19.2558,-155.4372,3.4
df_2001-2021 EQData.csv,33,737660.0,19.2,-155.469333333333,3.0
df_2001-2021 EQData.csv,34,737657.0,19.8805,-156.080833333333,3.4
df_2001-2021 EQData.csv,35,737653.0,20.002,-155.317,2.86
df_2001-2021 EQData.csv,36,737653.0,19.399,-155.255833333333,3.61
df_2001-2021 EQData.csv,37,737653.0,19.134,-155.548,3.49
df_2001-2021 EQData.csv,38,737647.0,18.7998333333333,-155.3705,3.48
df_2001-2021 EQData.csv,39,737638.0,19.2398333333333,-155.413,4.21
df_2001-2021 EQData.csv,40,737633.0,18.9313333333333,-155.461,4.67
df_2001-2021 EQData.csv,41,737624.0,19.2251666666667,-155.4095,3.01
df_2001-2021 EQData.csv,42,737623.0,19.2203333333333,-155.396666666667,3.3
df_2001-2021 EQData.csv,43,737613.0,19.2143333333333,-155.395666666667,3.51
df_2001-2021 EQData.csv,44,737610.0,19.2185,-155.391333333333,2.98
df_2001-2021 EQData.csv,45,737610.0,19.3398333333333,-155.122666666667,4.28
df_2001-2021 EQData.csv,46,737609.0,19.3258333333333,-155.115333333333,4.64
df_2001-2021 EQData.csv,47,737604.0,19.0741666666667,-155.374333333333,3.33
df_2001-2021 EQData.csv,48,737597.0,19.2281666666667,-155.3985,3.6
df_2001-2021 EQData.csv,49,737595.0,19.2121666666667,-155.414,3.42
df_2001-2021 EQData.csv,50,737587.0,19.2185,-155.4183333,3.38
df_2001-2021 EQData.csv,51,737587.0,19.2101667,-155.4648333,3.23
df_2001-2021 EQData.csv,52,737578.0,19.4243333,-155.6231667,3.21
df_2001-2021 EQData.csv,53,737576.0,19.231,-155.4181667,3.58
df_2001-2021 EQData.csv,54,737574.0,19.2161667,-155.4171667,3.5
df_2001-2021 EQData.csv,55,737572.0,19.2133333,-155.3956667,3.67
df_2001-2021 EQData.csv,56,737571.0,19.4436667,-155.3373333,3.27
df_2001-2021 EQData.csv,57,737570.0,19.2191667,-155.3778333,2.97
df_2001-2021 EQData.csv,58,737566.0,19.1968333,-155.3016667,2.65
df_2001-2021 EQData.csv,59,737566.0,19.2251667,-155.399,3.75
df_2001-2021 EQData.csv,60,737563.0,19.2346667,-155.4003333,3.04
df_2001-2021 EQData.csv,61,737561.0,19.3443333,-155.1951667,2.85
df_2001-2021 EQData.csv,62,737559.0,19.2181667,-155.4188333,3.26
df_2001-2021 EQData.csv,63,737558.0,19.2150002,-155.4203339,2.87
df_2001-2021 EQData.csv,64,737557.0,18.9206667,-155.1893333,3.34
df_2001-2021 EQData.csv,65,737557.0,18.8835,-155.1731667,3.82
df_2001-2021 EQData.csv,66,737557.0,18.8995,-155.1823333,3.42
df_2001-2021 EQData.csv,67,737557.0,18.9216667,-155.1786667,3.57
df_2001-2021 EQData.csv,68,737557.0,18.9248333,-155.1883333,3.51
df_2001-2021 EQData.csv,69,737557.0,18.9326667,-155.2161667,3.71
df_2001-2021 EQData.csv,70,737557.0,18.8613,-155.1804,3.9
df_2001-2021 EQData.csv,71,737557.0,18.9143333,-155.1885,3.31
df_2001-2021 EQData.csv,72,737557.0,18.9166667,-155.1641667,3.38
