,,Date,SITE_LATITUDE,SITE_LONGITUDE,Daily Max 1-hour SO2 Concentration
df_ad_viz_plotval_data (2018).csv,0,120181.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,1,120182.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,2,120183.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,3,120184.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,4,120185.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,5,120186.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,6,120187.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,7,120188.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,8,120189.0,19.4308,-155.2578,41.0
df_ad_viz_plotval_data (2018).csv,9,1201810.0,19.4308,-155.2578,93.0
df_ad_viz_plotval_data (2018).csv,10,1201811.0,19.4308,-155.2578,57.0
df_ad_viz_plotval_data (2018).csv,11,1201812.0,19.4308,-155.2578,188.0
df_ad_viz_plotval_data (2018).csv,12,1201813.0,19.4308,-155.2578,888.0
df_ad_viz_plotval_data (2018).csv,13,1201814.0,19.4308,-155.2578,44.0
df_ad_viz_plotval_data (2018).csv,14,1201815.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,15,1201816.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,16,1201817.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,17,1201818.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,18,1201819.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,19,1201820.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,20,1201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,21,1201822.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,22,1201823.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,23,1201824.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,24,1201825.0,19.4308,-155.2578,214.0
df_ad_viz_plotval_data (2018).csv,25,1201826.0,19.4308,-155.2578,163.0
df_ad_viz_plotval_data (2018).csv,26,1201827.0,19.4308,-155.2578,171.0
df_ad_viz_plotval_data (2018).csv,27,1201828.0,19.4308,-155.2578,15.0
df_ad_viz_plotval_data (2018).csv,28,1201829.0,19.4308,-155.2578,443.0
df_ad_viz_plotval_data (2018).csv,29,1201830.0,19.4308,-155.2578,366.0
df_ad_viz_plotval_data (2018).csv,30,1201831.0,19.4308,-155.2578,198.0
df_ad_viz_plotval_data (2018).csv,31,220181.0,19.4308,-155.2578,106.0
df_ad_viz_plotval_data (2018).csv,32,220182.0,19.4308,-155.2578,326.0
df_ad_viz_plotval_data (2018).csv,33,220183.0,19.4308,-155.2578,1027.0
df_ad_viz_plotval_data (2018).csv,34,220184.0,19.4308,-155.2578,372.0
df_ad_viz_plotval_data (2018).csv,35,220185.0,19.4308,-155.2578,1160.0
df_ad_viz_plotval_data (2018).csv,36,220186.0,19.4308,-155.2578,198.0
df_ad_viz_plotval_data (2018).csv,37,220187.0,19.4308,-155.2578,547.0
df_ad_viz_plotval_data (2018).csv,38,220188.0,19.4308,-155.2578,10.0
df_ad_viz_plotval_data (2018).csv,39,220189.0,19.4308,-155.2578,27.0
df_ad_viz_plotval_data (2018).csv,40,2201810.0,19.4308,-155.2578,82.0
df_ad_viz_plotval_data (2018).csv,41,2201811.0,19.4308,-155.2578,53.0
df_ad_viz_plotval_data (2018).csv,42,2201812.0,19.4308,-155.2578,5.0
df_ad_viz_plotval_data (2018).csv,43,2201813.0,19.4308,-155.2578,107.0
df_ad_viz_plotval_data (2018).csv,44,2201814.0,19.4308,-155.2578,144.0
df_ad_viz_plotval_data (2018).csv,45,2201815.0,19.4308,-155.2578,173.0
df_ad_viz_plotval_data (2018).csv,46,2201816.0,19.4308,-155.2578,13.0
df_ad_viz_plotval_data (2018).csv,47,2201817.0,19.4308,-155.2578,165.0
df_ad_viz_plotval_data (2018).csv,48,2201818.0,19.4308,-155.2578,22.0
df_ad_viz_plotval_data (2018).csv,49,2201819.0,19.4308,-155.2578,252.0
df_ad_viz_plotval_data (2018).csv,50,2201820.0,19.4308,-155.2578,156.0
df_ad_viz_plotval_data (2018).csv,51,2201821.0,19.4308,-155.2578,65.0
df_ad_viz_plotval_data (2018).csv,52,2201822.0,19.4308,-155.2578,31.0
df_ad_viz_plotval_data (2018).csv,53,2201823.0,19.4308,-155.2578,25.0
df_ad_viz_plotval_data (2018).csv,54,2201824.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,55,2201825.0,19.4308,-155.2578,32.0
df_ad_viz_plotval_data (2018).csv,56,2201826.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,57,2201827.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,58,2201828.0,19.4308,-155.2578,1.0
df_ad_viz_plotval_data (2018).csv,59,320181.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,60,320182.0,19.4308,-155.2578,3.0
df_ad_viz_plotval_data (2018).csv,61,320183.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,62,320184.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,63,320185.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,64,320186.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,65,320187.0,19.4308,-155.2578,10.0
df_ad_viz_plotval_data (2018).csv,66,320188.0,19.4308,-155.2578,31.0
df_ad_viz_plotval_data (2018).csv,67,320189.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,68,3201810.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,69,3201811.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,70,3201812.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,71,3201813.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,72,3201814.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,73,3201815.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,74,3201816.0,19.4308,-155.2578,17.0
df_ad_viz_plotval_data (2018).csv,75,3201817.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,76,3201818.0,19.4308,-155.2578,6.0
df_ad_viz_plotval_data (2018).csv,77,3201819.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,78,3201820.0,19.4308,-155.2578,5.0
df_ad_viz_plotval_data (2018).csv,79,3201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,80,3201822.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,81,3201823.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,82,3201824.0,19.4308,-155.2578,3.0
df_ad_viz_plotval_data (2018).csv,83,3201825.0,19.4308,-155.2578,50.0
df_ad_viz_plotval_data (2018).csv,84,3201826.0,19.4308,-155.2578,365.0
df_ad_viz_plotval_data (2018).csv,85,3201827.0,19.4308,-155.2578,141.0
df_ad_viz_plotval_data (2018).csv,86,3201828.0,19.4308,-155.2578,25.0
df_ad_viz_plotval_data (2018).csv,87,3201829.0,19.4308,-155.2578,50.0
df_ad_viz_plotval_data (2018).csv,88,3201830.0,19.4308,-155.2578,1.0
df_ad_viz_plotval_data (2018).csv,89,3201831.0,19.4308,-155.2578,17.0
df_ad_viz_plotval_data (2018).csv,90,420181.0,19.4308,-155.2578,4.0
df_ad_viz_plotval_data (2018).csv,91,420182.0,19.4308,-155.2578,71.0
df_ad_viz_plotval_data (2018).csv,92,420183.0,19.4308,-155.2578,30.0
df_ad_viz_plotval_data (2018).csv,93,420184.0,19.4308,-155.2578,242.0
df_ad_viz_plotval_data (2018).csv,94,420185.0,19.4308,-155.2578,100.0
df_ad_viz_plotval_data (2018).csv,95,420186.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,96,420187.0,19.4308,-155.2578,10.0
df_ad_viz_plotval_data (2018).csv,97,420188.0,19.4308,-155.2578,36.0
df_ad_viz_plotval_data (2018).csv,98,420189.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,99,4201810.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,100,4201811.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,101,4201812.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,102,4201813.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,103,4201814.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,104,4201815.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,105,4201816.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,106,4201817.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,107,4201818.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,108,4201819.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,109,4201820.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,110,4201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,111,4201822.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,112,4201823.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,113,4201824.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,114,4201825.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,115,4201826.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,116,4201827.0,19.4308,-155.2578,26.0
df_ad_viz_plotval_data (2018).csv,117,4201828.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,118,4201829.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,119,4201830.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,120,520181.0,19.4308,-155.2578,19.0
df_ad_viz_plotval_data (2018).csv,121,520182.0,19.4308,-155.2578,86.0
df_ad_viz_plotval_data (2018).csv,122,520183.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,123,520184.0,19.4308,-155.2578,185.0
df_ad_viz_plotval_data (2018).csv,124,520185.0,19.4308,-155.2578,41.0
df_ad_viz_plotval_data (2018).csv,125,520186.0,19.4308,-155.2578,31.0
df_ad_viz_plotval_data (2018).csv,126,520187.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,127,520188.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,128,520189.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,129,5201810.0,19.4308,-155.2578,13.0
df_ad_viz_plotval_data (2018).csv,130,5201811.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,131,5201812.0,19.4308,-155.2578,71.0
df_ad_viz_plotval_data (2018).csv,132,5201813.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,133,5201814.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,134,5201815.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,135,5201816.0,19.4308,-155.2578,299.0
df_ad_viz_plotval_data (2018).csv,136,5201817.0,19.4308,-155.2578,183.0
df_ad_viz_plotval_data (2018).csv,137,5201818.0,19.4308,-155.2578,1.0
df_ad_viz_plotval_data (2018).csv,138,5201819.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,139,5201820.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,140,5201821.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,141,5201822.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,142,5201823.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,143,5201824.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,144,5201825.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,145,5201826.0,19.4308,-155.2578,303.0
df_ad_viz_plotval_data (2018).csv,146,5201827.0,19.4308,-155.2578,3.0
df_ad_viz_plotval_data (2018).csv,147,5201828.0,19.4308,-155.2578,247.0
df_ad_viz_plotval_data (2018).csv,148,5201829.0,19.4308,-155.2578,142.0
df_ad_viz_plotval_data (2018).csv,149,5201830.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,150,5201831.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,151,620181.0,19.4308,-155.2578,1.0
df_ad_viz_plotval_data (2018).csv,152,620182.0,19.4308,-155.2578,1108.0
df_ad_viz_plotval_data (2018).csv,153,620183.0,19.4308,-155.2578,548.0
df_ad_viz_plotval_data (2018).csv,154,620184.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,155,620185.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,156,620186.0,19.4308,-155.2578,0.0
df_ad_viz_plotval_data (2018).csv,157,620187.0,19.4308,-155.2578,279.0
df_ad_viz_plotval_data (2018).csv,158,620188.0,19.4308,-155.2578,120.0
