Date,Max,Min,Average Temperature (F),Departure,HDD,CDD,Precipitation (in.)
1/1/2018,52,35,43.5,0,21,0,0
1/2/2018,56,32,44,0.5,21,0,0
1/3/2018,49,35,42,-1.5,23,0,0
1/4/2018,55,39,47,3.5,18,0,0
1/5/2018,55,38,46.5,3,18,0,0
1/6/2018,58,39,48.5,5,16,0,0
1/7/2018,54,38,46,2.5,19,0,0
1/8/2018,53,40,46.5,3.1,18,0,0
1/9/2018,50,34,42,-1.4,23,0,0
1/10/2018,47,31,39,-4.4,26,0,0
1/11/2018,46,31,38.5,-4.9,26,0,0
1/12/2018,52,32,42,-1.4,23,0,0
1/13/2018,53,37,45,1.6,20,0,0
1/14/2018,54,37,45.5,2.1,19,0,0
1/15/2018,54,37,45.5,2.2,19,0,0
1/16/2018,55,38,46.5,3.2,18,0,0
1/17/2018,57,37,47,3.7,18,0,0
1/18/2018,54,36,45,1.7,20,0,0
1/19/2018,54,37,45.5,2.3,19,0,0
1/20/2018,50,33,41.5,-1.7,23,0,0.03
1/21/2018,48,34,41,-2.2,24,0,0
1/22/2018,48,33,40.5,-2.7,24,0,0.02
1/23/2018,47,33,40,-3.1,25,0,0
1/24/2018,47,34,40.5,-2.6,24,0,0.04
1/25/2018,46,34,40,-3,25,0,0
1/26/2018,43,34,38.5,-4.5,26,0,0.46
1/27/2018,43,35,39,-4,26,0,0.16
1/28/2018,43,33,38,-4.9,27,0,0.02
1/29/2018,46,31,38.5,-4.4,26,0,0
1/30/2018,50,34,42,-0.8,23,0,0
1/31/2018,46,33,39.5,-3.3,25,0,0
2/1/2018,51,35,43,0.3,22,0,0
2/2/2018,50,37,43.5,0.8,21,0,0
2/3/2018,50,37,43.5,0.9,21,0,0
2/4/2018,49,34,41.5,-1.1,23,0,0
2/5/2018,48,32,40,-2.5,25,0,0.1
2/6/2018,41,31,36,-6.5,29,0,0.15
2/7/2018,42,28,35,-7.4,30,0,0.02
2/8/2018,45,30,37.5,-4.9,27,0,0
2/9/2018,45,29,37,-5.4,28,0,0
2/10/2018,46,31,38.5,-3.8,26,0,0
2/11/2018,49,35,42,-0.3,23,0,0
2/12/2018,52,36,44,1.8,21,0,0
2/13/2018,55,40,47.5,5.3,17,0,0
2/14/2018,55,41,48,5.9,17,0,0
2/15/2018,56,39,47.5,5.4,17,0,0.04
2/16/2018,55,38,46.5,4.4,18,0,0
2/17/2018,42,34,38,-4,27,0,0
2/18/2018,47,33,40,-2,25,0,0.18
2/19/2018,43,31,37,-5,28,0,0
2/20/2018,47,31,39,-3,26,0,0
2/21/2018,43,38,40.5,-1.4,24,0,0.01
2/22/2018,41,35,38,-3.9,27,0,0.35
2/23/2018,45,35,40,-1.9,25,0,0.24
2/24/2018,49,37,43,1.1,22,0,0.05
2/25/2018,46,38,42,0.1,23,0,0.25
2/26/2018,49,37,43,1.1,22,0,0.01
2/27/2018,51,36,43.5,1.6,21,0,0
2/28/2018,56,39,47.5,5.6,17,0,0
3/1/2018,53,40,46.5,4.6,18,0,0
3/2/2018,54,40,47,5.1,18,0,0
3/3/2018,52,40,46,4,19,0,0
3/4/2018,54,38,46,4,19,0,0
3/5/2018,46,34,40,-2,25,0,0
3/6/2018,46,31,38.5,-3.5,26,0,0
3/7/2018,44,30,37,-5.1,28,0,0
3/8/2018,44,31,37.5,-4.6,27,0,0
3/9/2018,46,33,39.5,-2.7,25,0,0
3/10/2018,49,35,42,-0.2,23,0,0
3/11/2018,52,35,43.5,1.2,21,0,0
3/12/2018,44,39,41.5,-0.8,23,0,0.67
3/13/2018,44,38,41,-1.4,24,0,0.61
3/14/2018,48,39,43.5,1.1,21,0,0
3/15/2018,47,36,41.5,-1,23,0,0.24
3/16/2018,47,36,41.5,-1.1,23,0,0.13
3/17/2018,49,38,43.5,0.9,21,0,0
3/18/2018,52,36,44,1.3,21,0,0
3/19/2018,48,35,41.5,-1.3,23,0,0.28
3/20/2018,45,35,40,-2.8,25,0,0
3/21/2018,46,37,41.5,-1.4,23,0,0.11
3/22/2018,45,36,40.5,-2.5,24,0,0
3/23/2018,50,38,44,0.9,21,0,0
3/24/2018,42,33,37.5,-5.6,27,0,2.62
3/25/2018,49,35,42,-1.2,23,0,0
3/26/2018,45,34,39.5,-3.8,25,0,0.14
3/27/2018,53,33,43,-0.4,22,0,0
3/28/2018,55,35,45,1.5,20,0,0
3/29/2018,52,35,43.5,0,21,0,0
3/30/2018,53,33,43,-0.6,22,0,0
3/31/2018,47,34,40.5,-3.2,24,0,0
4/1/2018,52,34,43,-0.8,22,0,0
4/2/2018,53,41,47,3.2,18,0,0
4/3/2018,51,41,46,2.1,19,0,0
4/4/2018,58,44,51,7,14,0,0
4/5/2018,55,42,48.5,4.4,16,0,0
4/6/2018,54,41,47.5,3.4,17,0,1.02
4/7/2018,48,40,44,-0.2,21,0,0.24
4/8/2018,50,38,44,-0.3,21,0,0
4/9/2018,47,39,43,-1.4,22,0,0.22
4/10/2018,53,39,46,1.6,19,0,0.48
4/11/2018,54,37,45.5,1,19,0,0
4/12/2018,53,37,45,0.4,20,0,0
4/13/2018,49,34,41.5,-3.1,23,0,0.11
4/14/2018,51,34,42.5,-2.2,22,0,0
4/15/2018,47,35,41,-3.8,24,0,0.22
4/16/2018,49,39,44,-0.8,21,0,0.02
4/17/2018,53,37,45,0.1,20,0,0
4/18/2018,57,38,47.5,2.5,17,0,0
4/19/2018,49,37,43,-2,22,0,0.02
4/20/2018,42,35,38.5,-6.6,26,0,0.2
4/21/2018,51,37,44,-1.2,21,0,0
4/22/2018,58,37,47.5,2.3,17,0,0
4/23/2018,60,40,50,4.7,15,0,0
4/24/2018,56,38,47,1.6,18,0,0
4/25/2018,50,35,42.5,-3,22,0,0
4/26/2018,51,37,44,-1.5,21,0,0
4/27/2018,53,37,45,-0.6,20,0,0
4/28/2018,53,38,45.5,-0.2,19,0,0
4/29/2018,59,40,49.5,3.7,15,0,0
4/30/2018,53,43,48,2.1,17,0,0.34
5/1/2018,55,43,49,3.1,16,0,0
