Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2018,8,1,0,0,320,5.5,-9,682.55,10,9.1,8.1,76,0
MLO,2018,8,1,0,1,312,4.5,-9,682.56,10.1,9.2,8.1,74,0
MLO,2018,8,1,0,2,335,3.9,-9,682.58,10.2,9.1,8.1,75,0
MLO,2018,8,1,0,3,334,4.2,-9,682.58,10.4,9.2,8.2,74,0
MLO,2018,8,1,0,4,339,4.3,-9,682.57,10,9,8.3,74,0
MLO,2018,8,1,0,5,334,4.6,-9,682.57,10,9,8.2,74,0
MLO,2018,8,1,0,6,338,2.8,-9,682.55,9.9,8.9,8.1,75,0
MLO,2018,8,1,0,7,347,4.6,-9,682.55,10,9.1,8.4,75,0
MLO,2018,8,1,0,8,348,6.3,-9,682.56,10.5,9.4,8.6,77,0
MLO,2018,8,1,0,9,340,6.3,-9,682.57,10.6,9.4,8.4,81,0
MLO,2018,8,1,0,10,334,5.2,-9,682.57,10.2,9,8,81,0
MLO,2018,8,1,0,11,340,5.1,-9,682.57,10.1,9.1,8,80,0
MLO,2018,8,1,0,12,351,6,-9,682.58,10.1,9,8,81,0
MLO,2018,8,1,0,13,336,4.3,-9,682.59,9.6,8.6,7.8,83,0
MLO,2018,8,1,0,14,338,5,-9,682.58,9.4,8.4,7.7,83,0
MLO,2018,8,1,0,15,336,4.3,-9,682.56,9.6,8.5,7.8,83,0
MLO,2018,8,1,0,16,334,4.8,-9,682.49,9.7,8.7,7.8,81,0
MLO,2018,8,1,0,17,309,4.6,-9,682.47,10,8.8,7.9,77,0
MLO,2018,8,1,0,18,313,4.5,-9,682.45,10,8.9,8,78,0
MLO,2018,8,1,0,19,318,4.5,-9,682.44,9.7,8.8,8.1,80,0
MLO,2018,8,1,0,20,313,4.4,-9,682.45,9.5,8.7,8,84,0
MLO,2018,8,1,0,21,313,4.7,-9,682.45,9.7,8.8,8,84,0
MLO,2018,8,1,0,22,320,4.1,-9,682.45,9.8,8.7,7.7,78,0
