Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2000,12,01,00,00,341,4.0,-9,-999.90,10.0,7.8,7.2,62,0
MLO,2000,12,01,00,01,345,2.1,-9,-999.90,9.4,7.6,6.8,64,0
MLO,2000,12,01,00,02,351,3.0,-9,-999.90,9.1,7.7,6.8,66,0
MLO,2000,12,01,00,03,325,3.2,-9,-999.90,9.0,7.7,6.8,62,0
MLO,2000,12,01,00,04,325,4.4,-9,-999.90,9.6,7.8,7.1,54,0
MLO,2000,12,01,00,05,325,3.2,-9,-999.90,10.2,8.0,7.2,48,0
MLO,2000,12,01,00,06,350,3.0,-9,-999.90,9.8,7.7,7.1,48,0
MLO,2000,12,01,00,07,329,4.2,-9,-999.90,9.2,7.6,7.0,-99,0
MLO,2000,12,01,00,08,332,4.0,-9,-999.90,9.0,7.4,6.9,64,0
MLO,2000,12,01,00,09,332,3.6,-9,-999.90,9.2,7.6,7.1,61,0
MLO,2000,12,01,00,10,338,3.3,-9,-999.90,9.2,7.6,6.8,61,0
MLO,2000,12,01,00,11,329,3.0,-9,-999.90,8.9,7.2,6.6,60,0
MLO,2000,12,01,00,12,343,1.6,-9,-999.90,8.2,7.2,6.6,64,0
MLO,2000,12,01,00,13,338,1.3,-9,-999.90,8.2,7.4,6.9,71,0
MLO,2000,12,01,00,14,322,3.1,-9,-999.90,8.4,7.5,7.0,71,0
MLO,2000,12,01,00,15,339,3.4,-9,-999.90,8.9,7.6,7.2,67,0
MLO,2000,12,01,00,16,333,3.3,-9,-999.90,9.9,7.6,7.1,63,0
MLO,2000,12,01,00,17,348,2.4,-9,-999.90,9.6,7.6,7.2,66,0
MLO,2000,12,01,00,18,324,2.5,-9,-999.90,9.0,7.8,7.3,68,0
MLO,2000,12,01,00,19,330,4.1,-9,-999.90,9.2,7.7,7.2,67,0
MLO,2000,12,01,00,20,343,3.0,-9,-999.90,9.2,7.5,7.0,62,0
MLO,2000,12,01,00,21,343,1.8,-9,-999.90,9.0,7.6,7.0,59,0
MLO,2000,12,01,00,22,350,2.5,-9,-999.90,9.6,8.0,7.3,63,0
MLO,2000,12,01,00,23,8,0.5,-9,-999.90,9.0,7.9,7.1,66,0
MLO,2000,12,01,00,24,322,1.9,-9,-999.90,8.5,7.8,7.3,66,0
MLO,2000,12,01,00,25,306,3.0,-9,-999.90,9.0,7.6,7.3,68,0
MLO,2000,12,01,00,26,294,3.8,-9,-999.90,9.4,7.6,6.9,65,0
MLO,2000,12,01,00,27,297,3.1,-9,-999.90,9.3,7.6,6.8,60,0
MLO,2000,12,01,00,28,315,3.5,-9,-999.90,9.0,7.2,7.0,64,0
MLO,2000,12,01,00,29,318,2.4,-9,-999.90,9.4,7.4,7.2,56,0
MLO,2000,12,01,00,30,334,2.4,-9,-999.90,9.2,7.8,7.4,59,0
MLO,2000,12,01,00,31,346,2.3,-9,-999.90,9.6,7.9,7.5,60,0
MLO,2000,12,01,00,32,308,3.5,-9,-999.90,9.6,8.0,7.7,63,0
MLO,2000,12,01,00,33,311,4.0,-9,-999.90,9.6,8.0,7.5,63,0
MLO,2000,12,01,00,34,329,4.2,-9,-999.90,9.3,8.0,7.4,62,0
MLO,2000,12,01,00,35,315,4.4,-9,-999.90,9.4,7.7,7.4,62,0
MLO,2000,12,01,00,36,318,3.6,-9,-999.90,8.8,7.2,7.0,69,0
MLO,2000,12,01,00,37,312,3.3,-9,-999.90,8.6,7.0,6.8,68,0
MLO,2000,12,01,00,38,308,2.8,-9,-999.90,8.6,7.2,6.9,66,0
MLO,2000,12,01,00,39,340,3.6,-9,-999.90,9.1,7.6,7.1,63,0
MLO,2000,12,01,00,40,322,4.2,-9,-999.90,9.2,7.7,7.0,65,0
MLO,2000,12,01,00,41,321,4.3,-9,-999.90,9.1,7.5,7.2,70,0
MLO,2000,12,01,00,42,344,4.0,-9,-999.90,9.6,7.4,7.2,69,0
MLO,2000,12,01,00,43,334,3.5,-9,-999.90,9.6,7.4,7.0,67,0
MLO,2000,12,01,00,44,334,3.3,-9,-999.90,9.5,7.7,7.2,67,0
MLO,2000,12,01,00,45,325,2.9,-9,-999.90,9.2,7.7,7.4,68,0
MLO,2000,12,01,00,46,309,5.1,-9,-999.90,9.6,8.2,7.4,61,0
MLO,2000,12,01,00,47,313,4.9,-9,-999.90,9.4,8.0,7.2,65,0
MLO,2000,12,01,00,48,323,4.1,-9,-999.90,8.6,7.3,6.8,66,0
MLO,2000,12,01,00,49,314,3.4,-9,-999.90,9.2,7.5,6.8,65,0
MLO,2000,12,01,00,50,326,3.0,-9,-999.90,9.8,7.9,6.8,63,0
MLO,2000,12,01,00,51,335,4.2,-9,-999.90,9.6,7.7,6.9,68,0
