Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2010,06,01,00,00,99,10.5,-9,682.60,12.8,11.5,9.9,12,0
MLO,2010,06,01,00,01,98,9.7,-9,682.60,13.1,11.5,9.9,12,0
MLO,2010,06,01,00,02,104,8.3,-9,682.60,13.2,11.7,9.9,12,0
MLO,2010,06,01,00,03,101,9.8,-9,682.60,14.0,12.1,10.1,12,0
MLO,2010,06,01,00,04,109,10.7,-9,682.50,13.4,11.8,10.1,12,0
MLO,2010,06,01,00,05,103,9.9,-9,682.50,13.9,12.0,10.1,11,0
MLO,2010,06,01,00,06,108,9.6,-9,682.50,13.3,11.9,10.1,12,0
MLO,2010,06,01,00,07,111,9.0,-9,682.50,13.5,12.1,10.3,12,0
MLO,2010,06,01,00,08,119,8.4,-9,682.50,14.1,12.2,10.5,11,0
MLO,2010,06,01,00,09,115,9.2,-9,682.40,14.4,12.6,10.7,11,0
MLO,2010,06,01,00,10,117,10.0,-9,682.50,14.3,12.4,10.5,11,0
MLO,2010,06,01,00,11,112,9.1,-9,682.40,14.0,12.0,10.3,11,0
MLO,2010,06,01,00,12,109,10.3,-9,682.40,13.8,12.1,10.3,11,0
MLO,2010,06,01,00,13,110,10.8,-9,682.50,13.6,12.0,10.3,11,0
MLO,2010,06,01,00,14,99,9.0,-9,682.50,13.4,12.1,10.4,11,0
MLO,2010,06,01,00,15,104,8.9,-9,682.40,12.9,11.7,10.1,12,0
MLO,2010,06,01,00,16,95,8.6,-9,682.40,13.6,11.9,10.2,11,0
MLO,2010,06,01,00,17,103,6.5,-9,682.40,14.0,12.2,10.7,11,0
MLO,2010,06,01,00,18,112,8.4,-9,682.40,14.7,12.7,10.8,11,0
MLO,2010,06,01,00,19,101,9.9,-9,682.30,13.9,12.4,11.0,11,0
MLO,2010,06,01,00,20,113,10.2,-9,682.30,14.1,12.3,10.9,11,0
MLO,2010,06,01,00,21,102,8.3,-9,682.40,14.1,12.2,10.7,11,0
MLO,2010,06,01,00,22,113,9.8,-9,682.40,14.3,12.4,10.7,11,0
MLO,2010,06,01,00,23,115,11.1,-9,682.30,13.4,12.0,10.4,11,0
MLO,2010,06,01,00,24,113,10.0,-9,682.30,14.1,11.9,10.2,11,0
MLO,2010,06,01,00,25,110,7.9,-9,682.30,14.0,11.9,10.3,11,0
MLO,2010,06,01,00,26,110,9.1,-9,682.30,13.4,12.0,10.4,12,0
MLO,2010,06,01,00,27,119,9.4,-9,682.30,13.2,11.6,10.2,12,0
MLO,2010,06,01,00,28,105,9.8,-9,682.30,14.0,12.0,10.3,11,0
MLO,2010,06,01,00,29,106,9.4,-9,682.30,13.7,11.8,10.2,11,0
MLO,2010,06,01,00,30,94,10.8,-9,682.30,13.9,12.2,10.6,11,0
MLO,2010,06,01,00,31,105,9.8,-9,682.30,13.4,12.1,10.6,11,0
MLO,2010,06,01,00,32,107,9.3,-9,682.30,14.2,12.5,10.8,11,0
MLO,2010,06,01,00,33,106,11.6,-9,682.20,13.0,12.0,10.5,12,0
MLO,2010,06,01,00,34,95,9.5,-9,682.30,13.1,11.9,10.4,12,0
MLO,2010,06,01,00,35,108,9.8,-9,682.30,13.4,12.0,10.6,12,0
MLO,2010,06,01,00,36,117,8.4,-9,682.30,14.2,12.2,10.6,11,0
MLO,2010,06,01,00,37,113,9.8,-9,682.30,14.2,12.2,10.5,11,0
MLO,2010,06,01,00,38,114,7.9,-9,682.30,14.3,12.2,10.5,11,0
