Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2010,03,01,00,00,16,1.9,-9,679.70,12.0,9.7,8.4,54,0
MLO,2010,03,01,00,01,334,3.2,-9,679.70,11.9,10.1,8.9,48,0
MLO,2010,03,01,00,02,354,2.6,-9,679.60,11.9,10.0,8.9,42,0
MLO,2010,03,01,00,03,354,2.1,-9,679.60,11.4,9.9,8.7,55,0
MLO,2010,03,01,00,04,18,2.1,-9,679.60,11.3,10.0,8.2,53,0
MLO,2010,03,01,00,05,57,2.9,-9,679.60,10.6,9.9,8.2,54,0
MLO,2010,03,01,00,06,28,3.3,-9,679.60,11.5,10.1,8.3,50,0
MLO,2010,03,01,00,07,24,3.6,-9,679.50,11.1,10.0,8.1,54,0
MLO,2010,03,01,00,08,23,1.9,-9,679.60,10.6,9.6,7.8,53,0
MLO,2010,03,01,00,09,357,1.5,-9,679.60,9.8,9.3,7.9,55,0
MLO,2010,03,01,00,10,354,1.1,-9,679.50,10.6,9.6,8.4,55,0
MLO,2010,03,01,00,11,12,2.4,-9,679.50,10.2,9.3,7.9,67,0
MLO,2010,03,01,00,12,30,1.6,-9,679.50,10.0,9.2,7.8,62,0
MLO,2010,03,01,00,13,11,1.6,-9,679.50,11.3,9.3,8.1,54,0
MLO,2010,03,01,00,14,8,1.8,-9,679.50,10.8,9.6,8.1,48,0
MLO,2010,03,01,00,15,350,2.3,-9,679.40,12.2,10.0,8.8,56,0
MLO,2010,03,01,00,16,356,3.5,-9,679.40,12.8,10.4,9.1,50,0
MLO,2010,03,01,00,17,6,3.3,-9,679.40,12.4,10.4,9.0,55,0
MLO,2010,03,01,00,18,354,3.5,-9,679.40,13.3,10.6,9.0,53,0
MLO,2010,03,01,00,19,0,3.0,-9,679.40,11.4,10.4,8.1,64,0
MLO,2010,03,01,00,20,16,2.8,-9,679.40,11.1,10.0,8.0,62,0
MLO,2010,03,01,00,21,5,4.1,-9,679.40,11.3,9.7,7.8,61,0
MLO,2010,03,01,00,22,9,3.1,-9,679.40,10.8,9.4,7.7,61,0
MLO,2010,03,01,00,23,346,1.4,-9,679.40,10.1,9.3,7.5,65,0
MLO,2010,03,01,00,24,4,3.1,-9,679.40,9.8,9.3,7.8,70,0
MLO,2010,03,01,00,25,349,4.7,-9,679.40,10.3,8.9,7.7,71,0
MLO,2010,03,01,00,26,335,4.4,-9,679.40,11.3,8.8,7.6,60,0
MLO,2010,03,01,00,27,3,2.0,-9,679.50,10.9,9.2,8.0,58,0
MLO,2010,03,01,00,28,9,2.6,-9,679.40,10.7,9.4,8.2,67,0
MLO,2010,03,01,00,29,343,3.1,-9,679.40,11.3,9.2,7.8,68,0
MLO,2010,03,01,00,30,341,3.4,-9,679.40,10.4,9.1,7.6,69,0
MLO,2010,03,01,00,31,343,2.0,-9,679.40,10.1,9.0,7.7,68,0
