Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2010,10,01,00,00,20,2.4,-9,678.10,8.4,6.9,6.2,83,0
MLO,2010,10,01,00,01,14,2.5,-9,678.10,7.6,6.7,5.9,85,0
MLO,2010,10,01,00,02,18,1.6,-9,678.10,8.1,6.5,5.8,82,0
MLO,2010,10,01,00,03,18,1.6,-9,678.10,8.3,6.7,5.9,81,0
MLO,2010,10,01,00,04,358,1.0,-9,678.10,7.7,6.4,5.9,83,0
MLO,2010,10,01,00,05,29,0.3,-9,678.00,8.3,6.8,6.2,80,0
MLO,2010,10,01,00,06,27,1.4,-9,678.00,8.7,7.0,6.2,78,0
MLO,2010,10,01,00,07,15,1.6,-9,678.00,8.0,6.9,6.1,80,0
MLO,2010,10,01,00,08,1,1.4,-9,678.00,8.0,6.6,6.0,79,0
MLO,2010,10,01,00,09,333,0.2,-9,678.00,8.3,6.6,6.3,77,0
MLO,2010,10,01,00,10,310,0.7,-9,678.00,8.5,6.9,6.8,77,0
MLO,2010,10,01,00,11,340,0.2,-9,678.00,8.2,7.0,7.0,77,0
MLO,2010,10,01,00,12,30,1.7,-9,677.90,9.3,7.2,6.7,73,0
MLO,2010,10,01,00,13,27,1.6,-9,677.90,9.1,7.2,7.0,74,0
MLO,2010,10,01,00,14,15,1.7,-9,677.90,8.9,7.3,6.9,75,0
MLO,2010,10,01,00,15,34,2.5,-9,677.90,10.2,7.7,7.1,72,0
MLO,2010,10,01,00,16,22,2.2,-9,677.90,9.3,7.8,7.1,77,0
MLO,2010,10,01,00,17,19,2.2,-9,677.90,9.4,7.9,6.9,77,0
MLO,2010,10,01,00,18,28,1.7,-9,678.00,9.9,7.9,6.8,74,0
MLO,2010,10,01,00,19,32,2.6,-9,677.90,8.8,7.7,6.5,77,0
MLO,2010,10,01,00,20,46,2.1,-9,677.90,9.0,7.8,6.5,76,0
MLO,2010,10,01,00,21,27,2.6,-9,677.90,8.8,7.7,6.8,76,0
MLO,2010,10,01,00,22,44,3.2,-9,677.90,9.4,7.6,6.7,74,0
MLO,2010,10,01,00,23,48,2.6,-9,677.90,9.3,7.6,6.5,75,0
MLO,2010,10,01,00,24,23,1.6,-9,677.90,9.3,7.5,6.7,75,0
MLO,2010,10,01,00,25,3,2.0,-9,677.90,9.1,7.5,6.8,78,0
MLO,2010,10,01,00,26,36,3.8,-9,677.90,9.2,7.5,6.7,75,0
