Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2017,09,01,00,00,47,3.8,-9,681.20,13.6,11.3,10.4,63,0
MLO,2017,09,01,00,01,56,5.3,-9,681.20,13.5,11.5,10.5,62,0
MLO,2017,09,01,00,02,61,5.7,-9,681.20,14.0,11.9,10.5,58,0
MLO,2017,09,01,00,03,42,5.6,-9,681.10,14.1,12.0,10.5,58,0
MLO,2017,09,01,00,04,46,5.0,-9,681.20,14.3,12.2,10.5,60,0
MLO,2017,09,01,00,05,43,4.3,-9,681.10,13.2,12.0,10.3,64,0
MLO,2017,09,01,00,06,42,4.8,-9,681.10,13.6,11.9,10.4,62,0
MLO,2017,09,01,00,07,48,6.3,-9,681.10,13.7,12.0,10.4,61,0
MLO,2017,09,01,00,08,54,4.6,-9,681.10,13.9,12.0,10.4,58,0
MLO,2017,09,01,00,09,-999,-999.9,-9,-999.90,-999.9,-999.9,-999.9,-99,-99
MLO,2017,09,01,00,10,-999,-999.9,-9,-999.90,-999.9,-999.9,-999.9,-99,-99
MLO,2017,09,01,00,11,64,4.7,-9,681.10,13.9,12.2,10.4,58,0
MLO,2017,09,01,00,12,52,4.3,-9,681.10,13.8,11.9,10.4,59,0
MLO,2017,09,01,00,13,26,4.0,-9,681.10,13.3,11.7,10.4,62,0
MLO,2017,09,01,00,14,29,3.7,-9,681.10,13.0,11.6,10.3,66,0
MLO,2017,09,01,00,15,25,4.2,-9,681.10,12.9,11.4,10.0,66,0
MLO,2017,09,01,00,16,46,5.7,-9,681.10,13.3,11.7,10.3,63,0
MLO,2017,09,01,00,17,46,5.7,-9,681.10,13.6,11.8,10.4,62,0
MLO,2017,09,01,00,18,56,5.7,-9,681.10,13.6,11.7,10.2,61,0
MLO,2017,09,01,00,19,45,5.7,-9,681.10,13.8,11.9,10.3,61,0
MLO,2017,09,01,00,20,44,6.0,-9,681.10,13.1,11.7,10.1,63,0
MLO,2017,09,01,00,21,44,5.0,-9,681.10,13.1,11.6,10.3,62,0
MLO,2017,09,01,00,22,55,5.1,-9,681.10,13.6,11.7,10.3,60,0
MLO,2017,09,01,00,23,57,6.4,-9,681.10,14.1,12.0,10.4,55,0
MLO,2017,09,01,00,24,55,5.4,-9,681.10,14.0,11.9,10.3,56,0
MLO,2017,09,01,00,25,45,5.2,-9,681.10,13.5,11.8,10.4,59,0
MLO,2017,09,01,00,26,55,5.3,-9,681.00,13.1,11.5,10.4,62,0
MLO,2017,09,01,00,27,44,5.4,-9,681.10,12.9,11.4,10.1,64,0
MLO,2017,09,01,00,28,54,6.9,-9,681.00,13.2,11.5,10.0,63,0
MLO,2017,09,01,00,29,60,4.7,-9,681.10,12.9,11.2,10.0,64,0
MLO,2017,09,01,00,30,48,5.8,-9,681.00,13.1,11.3,10.1,62,0
MLO,2017,09,01,00,31,48,4.7,-9,681.00,13.3,11.6,10.1,64,0
MLO,2017,09,01,00,32,55,5.5,-9,681.00,13.7,11.8,10.2,62,0
MLO,2017,09,01,00,33,44,5.7,-9,681.00,13.3,11.5,10.1,63,0
MLO,2017,09,01,00,34,55,4.7,-9,681.10,13.0,11.4,10.2,63,0
MLO,2017,09,01,00,35,51,4.2,-9,681.00,12.7,11.2,10.3,63,0
MLO,2017,09,01,00,36,49,4.1,-9,681.10,13.1,11.4,10.3,63,0
MLO,2017,09,01,00,37,39,5.3,-9,681.00,13.6,11.8,10.2,63,0
MLO,2017,09,01,00,38,47,4.5,-9,681.00,13.1,11.7,10.1,64,0
MLO,2017,09,01,00,39,51,4.6,-9,681.00,13.6,11.8,10.1,61,0
MLO,2017,09,01,00,40,49,6.4,-9,681.00,12.8,11.5,9.9,64,0
MLO,2017,09,01,00,41,59,5.5,-9,681.00,13.1,11.4,10.0,62,0
MLO,2017,09,01,00,42,57,4.2,-9,681.00,13.1,11.4,10.2,62,0
MLO,2017,09,01,00,43,60,4.9,-9,681.00,13.4,11.3,10.2,62,0
MLO,2017,09,01,00,44,45,5.5,-9,680.90,13.5,11.5,10.3,62,0
MLO,2017,09,01,00,45,42,5.4,-9,680.90,13.5,11.6,10.3,61,0
MLO,2017,09,01,00,46,41,5.1,-9,680.90,13.3,11.5,10.2,63,0
MLO,2017,09,01,00,47,62,5.6,-9,680.90,13.8,11.9,10.3,61,0
MLO,2017,09,01,00,48,63,6.4,-9,681.00,13.7,11.9,10.7,60,0
MLO,2017,09,01,00,49,54,5.0,-9,681.00,14.3,12.0,10.8,59,0
MLO,2017,09,01,00,50,48,5.2,-9,681.00,14.2,12.1,10.7,60,0
MLO,2017,09,01,00,51,48,6.6,-9,680.90,13.6,11.8,10.2,61,0
MLO,2017,09,01,00,52,46,5.8,-9,680.90,13.0,11.3,10.2,62,0
MLO,2017,09,01,00,53,47,5.7,-9,680.90,13.0,11.3,10.2,62,0
MLO,2017,09,01,00,54,48,6.4,-9,680.90,13.3,11.6,10.3,61,0
MLO,2017,09,01,00,55,54,6.0,-9,680.90,13.8,11.7,10.2,62,0
MLO,2017,09,01,00,56,34,4.2,-9,680.90,13.0,11.4,9.8,66,0
MLO,2017,09,01,00,57,48,4.3,-9,680.90,12.4,11.0,9.8,68,0
MLO,2017,09,01,00,58,45,7.1,-9,680.90,12.4,10.9,9.6,67,0
MLO,2017,09,01,00,59,47,6.1,-9,680.90,12.0,10.8,9.6,69,0
MLO,2017,09,01,01,00,60,5.4,-9,680.90,12.3,10.9,9.7,66,0
MLO,2017,09,01,01,01,54,4.6,-9,680.90,12.7,11.0,9.8,64,0
MLO,2017,09,01,01,02,52,5.0,-9,680.90,13.2,11.4,10.0,62,0
MLO,2017,09,01,01,03,52,4.4,-9,680.90,13.6,11.6,9.9,59,0
MLO,2017,09,01,01,04,49,3.4,-9,680.90,12.6,11.4,9.9,62,0
MLO,2017,09,01,01,05,56,5.9,-9,680.80,13.2,11.5,9.9,61,0
MLO,2017,09,01,01,06,61,4.4,-9,680.90,13.0,11.2,9.8,64,0
MLO,2017,09,01,01,07,58,4.9,-9,680.80,12.8,11.0,9.8,64,0
MLO,2017,09,01,01,08,57,4.3,-9,680.80,12.4,11.0,9.8,66,0
