Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2020,02,01,00,00,354,3.6,-9,679.28,9.2,7.7,6.7,72,0
MLO,2020,02,01,00,01,335,3.0,-9,679.27,9.1,7.4,6.6,74,0
MLO,2020,02,01,00,02,3,4.2,-9,679.26,9.3,7.5,6.7,73,0
MLO,2020,02,01,00,03,3,4.8,-9,679.26,8.7,7.5,6.8,76,0
MLO,2020,02,01,00,04,12,3.9,-9,679.28,8.8,7.7,6.7,76,0
MLO,2020,02,01,00,05,10,3.0,-9,679.27,8.3,7.5,6.7,78,0
MLO,2020,02,01,00,06,18,3.4,-9,679.27,8.6,7.7,6.7,76,0
MLO,2020,02,01,00,07,12,3.6,-9,679.25,8.2,7.4,6.6,78,0
MLO,2020,02,01,00,08,9,4.2,-9,679.25,8.6,7.6,6.7,76,0
MLO,2020,02,01,00,09,14,3.8,-9,679.28,8.2,7.5,6.5,78,0
MLO,2020,02,01,00,10,350,3.5,-9,679.27,8.4,7.3,6.5,77,0
MLO,2020,02,01,00,11,339,3.3,-9,679.25,8.5,7.1,6.5,77,0
MLO,2020,02,01,00,12,3,3.7,-9,679.27,8.8,7.4,6.7,76,0
MLO,2020,02,01,00,13,17,3.1,-9,679.27,8.6,7.6,6.7,77,0
MLO,2020,02,01,00,14,17,4.2,-9,679.27,8.0,7.3,6.5,81,0
MLO,2020,02,01,00,15,14,4.9,-9,679.27,8.0,7.1,6.4,82,0
MLO,2020,02,01,00,16,7,3.7,-9,679.27,8.2,7.1,6.4,82,0
MLO,2020,02,01,00,17,352,2.9,-9,679.25,8.3,7.1,6.5,81,0
MLO,2020,02,01,00,18,15,3.9,-9,679.19,8.5,7.4,6.6,81,0
MLO,2020,02,01,00,19,43,3.7,-9,679.21,8.7,7.4,6.7,79,0
MLO,2020,02,01,00,20,29,3.6,-9,679.22,8.3,7.4,6.6,79,0
MLO,2020,02,01,00,21,40,2.8,-9,679.22,8.1,7.3,6.8,79,0
MLO,2020,02,01,00,22,20,3.1,-9,679.22,8.5,7.9,7.1,78,0
MLO,2020,02,01,00,23,31,4.1,-9,679.23,8.6,8.0,7.1,78,0
MLO,2020,02,01,00,24,27,3.6,-9,679.23,8.4,7.8,6.8,79,0
MLO,2020,02,01,00,25,25,2.8,-9,679.21,8.5,7.9,6.9,78,0
MLO,2020,02,01,00,26,27,2.5,-9,679.19,9.3,8.2,7.3,76,0
MLO,2020,02,01,00,27,22,3.4,-9,679.18,8.7,8.1,7.3,78,0
MLO,2020,02,01,00,28,13,4.2,-9,679.17,8.6,8.0,7.2,80,0
MLO,2020,02,01,00,29,25,4.9,-9,679.16,8.4,7.7,7.0,81,0
MLO,2020,02,01,00,30,33,4.0,-9,679.17,8.5,7.5,6.7,79,0
MLO,2020,02,01,00,31,33,3.5,-9,679.16,8.6,7.5,6.7,78,0
MLO,2020,02,01,00,32,29,2.9,-9,679.14,8.5,7.5,6.7,78,0
MLO,2020,02,01,00,33,39,2.3,-9,679.12,8.8,7.7,7.0,76,0
MLO,2020,02,01,00,34,86,2.9,-9,679.09,9.5,8.3,7.3,74,0
MLO,2020,02,01,00,35,59,3.3,-9,679.07,9.3,8.3,7.3,73,0
MLO,2020,02,01,00,36,57,2.9,-9,679.04,8.6,8.2,7.2,74,0
MLO,2020,02,01,00,37,43,3.8,-9,679.02,8.9,8.5,7.4,73,0
MLO,2020,02,01,00,38,30,5.3,-9,679.01,9.7,8.7,7.4,73,0
MLO,2020,02,01,00,39,27,4.6,-9,679.02,9.0,8.1,7.1,78,0
MLO,2020,02,01,00,40,12,5.1,-9,679.01,9.1,8.1,7.0,76,0
MLO,2020,02,01,00,41,26,5.4,-9,679.02,9.0,7.8,7.0,75,0
MLO,2020,02,01,00,42,30,5.9,-9,679.03,9.4,7.9,7.1,74,0
MLO,2020,02,01,00,43,20,4.6,-9,679.06,9.3,7.8,7.1,76,0
