Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2000,06,01,00,00,24,7.6,-9,-999.90,14.2,11.4,10.2,25,0
MLO,2000,06,01,00,01,23,5.0,-9,-999.90,13.3,11.0,10.1,26,0
MLO,2000,06,01,00,02,30,5.5,-9,-999.90,14.2,11.9,10.5,28,0
MLO,2000,06,01,00,03,28,5.5,-9,-999.90,15.5,12.7,11.0,26,0
MLO,2000,06,01,00,04,29,-99.9,-9,-999.90,15.8,12.4,10.4,24,0
MLO,2000,06,01,00,05,40,5.3,-9,-999.90,14.1,11.8,10.2,30,0
MLO,2000,06,01,00,06,31,7.3,-9,-999.90,14.1,11.7,10.4,32,0
MLO,2000,06,01,00,07,31,9.0,-9,-999.90,13.8,11.7,10.2,28,0
MLO,2000,06,01,00,08,30,7.8,-9,-999.90,13.2,11.2,10.2,27,0
MLO,2000,06,01,00,09,28,6.7,-9,-999.90,13.8,11.2,10.2,25,0
MLO,2000,06,01,00,10,28,6.2,-9,-999.90,14.1,11.6,10.4,24,0
MLO,2000,06,01,00,11,27,4.8,-9,-999.90,13.7,11.3,10.3,29,0
MLO,2000,06,01,00,12,27,4.8,-9,-999.90,14.0,11.7,10.5,30,0
MLO,2000,06,01,00,13,28,7.6,-9,-999.90,14.1,11.6,10.2,28,0
MLO,2000,06,01,00,14,31,6.9,-9,-999.90,14.4,11.6,10.4,25,0
MLO,2000,06,01,00,15,30,8.6,-9,-999.90,14.4,11.8,10.6,26,0
MLO,2000,06,01,00,16,27,6.4,-9,-999.90,14.6,11.9,10.8,31,0
MLO,2000,06,01,00,17,31,6.4,-9,-999.90,14.1,11.9,10.8,32,0
MLO,2000,06,01,00,18,31,7.4,-9,-999.90,15.0,12.4,11.1,28,0
MLO,2000,06,01,00,19,24,9.5,-9,-999.90,14.5,11.8,10.5,31,0
MLO,2000,06,01,00,20,288,9.5,-9,-999.90,14.4,11.6,10.4,32,0
MLO,2000,06,01,00,21,359,-99.9,-9,-999.90,13.6,11.0,10.0,30,0
MLO,2000,06,01,00,22,26,8.1,-9,-999.90,13.8,11.4,10.4,29,0
MLO,2000,06,01,00,23,27,8.0,-9,-999.90,14.5,11.6,10.6,29,0
MLO,2000,06,01,00,24,44,8.0,-9,-999.90,15.1,11.6,10.4,30,0
MLO,2000,06,01,00,25,343,-99.9,-9,-999.90,14.6,11.6,10.4,32,0
MLO,2000,06,01,00,26,31,6.8,-9,-999.90,14.4,11.9,11.0,28,0
MLO,2000,06,01,00,27,33,4.5,-9,-999.90,14.0,11.6,10.7,29,0
MLO,2000,06,01,00,28,25,4.5,-9,-999.90,13.8,11.2,10.4,32,0
MLO,2000,06,01,00,29,25,-99.9,-9,-999.90,14.2,11.1,10.0,32,0
MLO,2000,06,01,00,30,26,-99.9,-9,-999.90,13.6,10.9,9.8,33,0
MLO,2000,06,01,00,31,30,4.4,-9,-999.90,13.7,10.9,9.9,33,0
MLO,2000,06,01,00,32,35,4.4,-9,-999.90,13.8,11.4,10.4,33,0
MLO,2000,06,01,00,33,17,4.5,-9,-999.90,13.0,10.8,9.9,35,0
MLO,2000,06,01,00,34,16,2.1,-9,-999.90,14.3,11.2,10.6,32,0
MLO,2000,06,01,00,35,27,2.1,-9,-999.90,14.2,11.5,10.6,29,0
MLO,2000,06,01,00,36,29,-99.9,-9,-999.90,15.1,12.4,10.8,27,0
MLO,2000,06,01,00,37,26,-99.9,-9,-999.90,16.3,13.0,11.0,26,0
MLO,2000,06,01,00,38,29,4.4,-9,-999.90,14.0,11.6,10.2,32,0
MLO,2000,06,01,00,39,310,1.6,-9,-999.90,12.8,10.8,10.1,36,0
MLO,2000,06,01,00,40,346,2.1,-9,-999.90,13.0,10.8,10.0,35,0
MLO,2000,06,01,00,41,20,2.1,-9,-999.90,13.8,11.0,10.1,33,0
MLO,2000,06,01,00,42,43,2.0,-9,-999.90,14.6,11.8,10.8,33,0
MLO,2000,06,01,00,43,57,2.6,-9,-999.90,14.8,12.0,10.8,31,0
MLO,2000,06,01,00,44,26,1.9,-9,-999.90,13.8,11.2,10.2,33,0
MLO,2000,06,01,00,45,25,1.9,-9,-999.90,14.3,11.8,11.0,30,0
MLO,2000,06,01,00,46,25,-99.9,-9,-999.90,14.9,11.9,10.5,27,0
MLO,2000,06,01,00,47,24,-99.9,-9,-999.90,15.3,11.8,10.1,30,0
MLO,2000,06,01,00,48,22,-99.9,-9,-999.90,14.1,11.4,9.9,35,0
MLO,2000,06,01,00,49,23,-99.9,-9,-999.90,13.3,10.7,9.9,37,0
MLO,2000,06,01,00,50,20,2.9,-9,-999.90,12.6,10.5,10.0,38,0
MLO,2000,06,01,00,51,27,2.1,-9,-999.90,12.6,10.7,10.0,38,0
MLO,2000,06,01,00,52,36,3.8,-9,-999.90,12.6,10.8,9.9,38,0
MLO,2000,06,01,00,53,25,1.0,-9,-999.90,12.5,10.9,10.1,38,0
MLO,2000,06,01,00,54,19,4.0,-9,-999.90,12.4,11.0,10.1,38,0
MLO,2000,06,01,00,55,25,4.0,-9,-999.90,13.8,11.4,10.0,36,0
MLO,2000,06,01,00,56,29,-99.9,-9,-999.90,14.3,11.2,9.8,36,0
MLO,2000,06,01,00,57,62,-99.9,-9,-999.90,13.2,10.6,9.8,39,0
MLO,2000,06,01,00,58,351,2.2,-9,-999.90,12.3,10.2,9.4,40,0
MLO,2000,06,01,00,59,21,4.6,-9,-999.90,12.8,10.4,9.7,39,0
MLO,2000,06,01,01,00,31,3.3,-9,-999.90,14.0,11.2,10.0,37,0
MLO,2000,06,01,01,01,5,2.6,-9,-999.90,12.6,10.8,9.7,41,0
MLO,2000,06,01,01,02,44,3.0,-9,-999.90,12.5,10.8,9.6,42,0
MLO,2000,06,01,01,03,26,3.0,-9,-999.90,12.3,10.9,9.6,42,0
MLO,2000,06,01,01,04,44,3.0,-9,-999.90,13.2,11.0,9.9,40,0
MLO,2000,06,01,01,05,27,3.0,-9,-999.90,14.6,11.9,10.3,38,0
MLO,2000,06,01,01,06,25,-99.9,-9,-999.90,14.4,11.6,10.0,40,0
