Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2000,05,01,00,00,-999,-999.9,-9,-999.90,10.5,7.8,6.6,66,0
MLO,2000,05,01,00,01,351,3.2,-9,-999.90,10.7,8.0,7.0,64,0
MLO,2000,05,01,00,02,55,2.5,-9,-999.90,10.2,8.4,7.5,64,0
MLO,2000,05,01,00,03,48,1.3,-9,-999.90,11.1,9.2,8.0,59,0
MLO,2000,05,01,00,04,5,2.2,-9,-999.90,11.0,9.1,8.0,60,0
MLO,2000,05,01,00,05,347,3.1,-9,-999.90,10.4,8.4,7.3,64,0
MLO,2000,05,01,00,06,351,4.6,-9,-999.90,10.9,8.1,7.0,62,0
MLO,2000,05,01,00,07,32,4.0,-9,-999.90,10.2,7.5,6.9,63,0
MLO,2000,05,01,00,08,40,4.0,-9,-999.90,9.6,7.4,6.8,64,0
MLO,2000,05,01,00,09,20,1.1,-9,-999.90,9.3,7.8,7.2,67,0
MLO,2000,05,01,00,10,-999,-999.9,-9,-999.90,9.5,7.9,7.1,66,0
MLO,2000,05,01,00,11,341,2.9,-9,-999.90,9.2,7.8,6.9,71,0
MLO,2000,05,01,00,12,356,4.7,-9,-999.90,10.2,7.7,6.9,67,0
MLO,2000,05,01,00,13,342,3.2,-9,-999.90,9.8,7.8,7.1,68,0
MLO,2000,05,01,00,14,283,1.7,-9,-999.90,9.4,7.6,6.8,69,0
MLO,2000,05,01,00,15,28,2.7,-9,-999.90,9.3,7.5,6.7,68,0
MLO,2000,05,01,00,16,46,3.1,-9,-999.90,9.2,7.2,6.6,68,0
MLO,2000,05,01,00,17,51,1.9,-9,-999.90,9.3,7.6,6.8,67,0
MLO,2000,05,01,00,18,10,1.8,-9,-999.90,9.1,7.5,6.7,67,0
MLO,2000,05,01,00,19,352,1.9,-9,-999.90,9.0,7.2,6.6,67,0
MLO,2000,05,01,00,20,340,3.9,-9,-999.90,9.0,7.0,6.4,67,0
MLO,2000,05,01,00,21,338,4.6,-9,-999.90,10.0,7.3,6.3,62,0
MLO,2000,05,01,00,22,-999,-999.9,-9,-999.90,8.6,7.0,6.3,68,0
MLO,2000,05,01,00,23,336,1.6,-9,-999.90,9.2,7.4,6.5,64,0
MLO,2000,05,01,00,24,346,2.9,-9,-999.90,9.2,7.4,6.5,64,0
MLO,2000,05,01,00,25,359,3.3,-9,-999.90,9.9,7.5,6.7,60,0
MLO,2000,05,01,00,26,68,1.7,-9,-999.90,9.6,7.8,6.7,59,0
MLO,2000,05,01,00,27,44,2.5,-9,-999.90,9.7,7.6,6.4,57,0
MLO,2000,05,01,00,28,2,0.8,-9,-999.90,8.7,7.1,6.2,61,0
MLO,2000,05,01,00,29,358,1.8,-9,-999.90,8.4,7.1,6.2,61,0
MLO,2000,05,01,00,30,36,2.0,-9,-999.90,9.1,7.3,6.6,58,0
MLO,2000,05,01,00,31,48,2.2,-9,-999.90,8.8,7.0,6.4,60,0
MLO,2000,05,01,00,32,49,2.8,-9,-999.90,8.0,6.9,6.3,63,0
MLO,2000,05,01,00,33,71,1.9,-9,-999.90,8.0,7.0,6.4,63,0
MLO,2000,05,01,00,34,359,1.6,-9,-999.90,8.9,7.6,7.3,60,0
MLO,2000,05,01,00,35,43,2.4,-9,-999.90,9.5,8.1,7.4,56,0
MLO,2000,05,01,00,36,50,3.3,-9,-999.90,10.1,8.1,6.9,54,0
MLO,2000,05,01,00,37,25,1.5,-9,-999.90,9.2,7.4,6.8,57,0
MLO,2000,05,01,00,38,55,1.4,-9,-999.90,9.2,7.5,7.0,56,0
MLO,2000,05,01,00,39,50,4.0,-9,-999.90,9.4,7.6,6.9,54,0
MLO,2000,05,01,00,40,35,2.9,-9,-999.90,9.2,7.6,6.8,55,0
MLO,2000,05,01,00,41,37,2.3,-9,-999.90,9.4,7.5,6.6,54,0
MLO,2000,05,01,00,42,42,2.2,-9,-999.90,8.9,7.2,6.5,56,0
MLO,2000,05,01,00,43,2,0.3,-9,-999.90,8.7,7.4,6.8,56,0
MLO,2000,05,01,00,44,47,3.0,-9,-999.90,10.2,8.6,7.7,51,0
MLO,2000,05,01,00,45,44,2.5,-9,-999.90,10.2,8.5,7.4,51,0
MLO,2000,05,01,00,46,47,0.5,-9,-999.90,9.3,7.8,7.5,54,0
MLO,2000,05,01,00,47,-999,-999.9,-9,-999.90,10.2,8.0,7.6,51,0
MLO,2000,05,01,00,48,58,3.3,-9,-999.90,9.7,7.9,7.5,52,0
MLO,2000,05,01,00,49,52,2.5,-9,-999.90,9.7,8.2,7.2,51,0
MLO,2000,05,01,00,50,63,1.9,-9,-999.90,10.2,8.8,7.4,49,0
MLO,2000,05,01,00,51,39,4.6,-9,-999.90,10.6,8.8,7.4,47,0
MLO,2000,05,01,00,52,47,3.8,-9,-999.90,10.5,8.4,7.2,47,0
MLO,2000,05,01,00,53,64,3.5,-9,-999.90,10.7,8.4,7.6,46,0
MLO,2000,05,01,00,54,72,3.2,-9,-999.90,10.1,8.0,7.1,48,0
MLO,2000,05,01,00,55,39,2.4,-9,-999.90,10.8,9.1,7.8,46,0
MLO,2000,05,01,00,56,45,4.1,-9,-999.90,11.9,9.6,8.1,43,0
MLO,2000,05,01,00,57,37,4.5,-9,-999.90,11.5,8.6,7.4,43,0
MLO,2000,05,01,00,58,42,2.9,-9,-999.90,10.3,8.3,7.5,47,0
MLO,2000,05,01,00,59,68,1.1,-9,-999.90,9.9,8.0,7.8,48,0
MLO,2000,05,01,01,00,57,3.6,-9,-999.90,10.2,8.3,7.7,48,0
MLO,2000,05,01,01,01,38,4.8,-9,-999.90,11.0,8.7,8.0,46,0
MLO,2000,05,01,01,02,46,2.0,-9,-999.90,10.9,8.3,7.7,46,0
MLO,2000,05,01,01,03,11,2.1,-9,-999.90,10.9,8.6,7.8,46,0
MLO,2000,05,01,01,04,38,1.9,-9,-999.90,11.0,8.8,8.2,45,0
MLO,2000,05,01,01,05,-999,-999.9,-9,-999.90,11.8,9.3,8.5,42,0
MLO,2000,05,01,01,06,-999,-999.9,-9,-999.90,11.6,8.7,7.8,43,0
MLO,2000,05,01,01,07,45,2.2,-9,-999.90,12.0,9.4,8.4,43,0
