Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2004,01,01,00,00,45,1.9,-9,-999.90,6.0,5.4,5.4,99,0
MLO,2004,01,01,00,01,41,1.7,-9,-999.90,6.0,5.4,5.4,99,0
MLO,2004,01,01,00,02,45,0.9,-9,-999.90,6.0,5.6,5.4,99,0
MLO,2004,01,01,00,03,36,1.0,-9,-999.90,6.0,5.6,5.5,99,0
MLO,2004,01,01,00,04,34,0.5,-9,-999.90,6.0,5.4,5.5,99,0
MLO,2004,01,01,00,05,34,0.5,-9,-999.90,5.9,5.4,5.5,99,0
MLO,2004,01,01,00,06,0,0.0,-9,-999.90,5.8,5.6,5.6,99,0
MLO,2004,01,01,00,07,0,0.0,-9,-999.90,5.7,5.5,5.6,99,0
MLO,2004,01,01,00,08,34,0.3,-9,-999.90,5.7,5.5,5.5,99,0
MLO,2004,01,01,00,09,39,0.6,-9,-999.90,5.8,5.5,5.5,99,0
MLO,2004,01,01,00,10,39,0.6,-9,-999.90,5.8,5.4,5.6,99,0
MLO,2004,01,01,00,11,104,0.2,-9,-999.90,5.9,5.4,5.1,99,0
MLO,2004,01,01,00,12,167,1.4,-9,-999.90,5.7,5.1,4.6,95,0
MLO,2004,01,01,00,14,167,1.4,-9,-999.90,4.8,4.4,4.0,97,0
MLO,2004,01,01,00,15,187,1.0,-9,-999.90,4.8,4.3,4.0,95,0
MLO,2004,01,01,00,16,201,0.9,-9,-999.90,4.6,4.2,4.1,95,0
MLO,2004,01,01,00,17,197,0.8,-9,-999.90,4.6,4.2,4.1,95,0
MLO,2004,01,01,00,18,252,0.1,-9,-999.90,4.7,4.4,4.4,95,0
MLO,2004,01,01,00,19,313,0.5,-9,-999.90,4.9,4.7,4.6,97,0
MLO,2004,01,01,00,20,337,1.6,-9,-999.90,5.6,5.2,4.8,97,0
MLO,2004,01,01,00,21,356,2.0,-9,-999.90,5.7,5.3,5.0,98,0
MLO,2004,01,01,00,22,357,2.4,-9,-999.90,6.0,5.6,5.4,99,0
MLO,2004,01,01,00,23,0,2.1,-9,-999.90,6.2,5.6,5.5,99,0
MLO,2004,01,01,00,24,359,1.9,-9,-999.90,5.9,5.3,5.4,98,0
MLO,2004,01,01,00,26,33,1.8,-9,-999.90,6.1,5.5,5.4,99,0
MLO,2004,01,01,00,27,26,1.1,-9,-999.90,5.9,5.2,5.2,98,0
MLO,2004,01,01,00,28,358,1.1,-9,-999.90,5.9,5.3,5.5,99,0
MLO,2004,01,01,00,29,358,1.1,-9,-999.90,6.1,5.8,5.6,99,0
MLO,2004,01,01,00,30,39,1.0,-9,-999.90,6.0,5.7,5.4,99,0
MLO,2004,01,01,00,31,34,0.9,-9,-999.90,6.2,5.4,5.3,99,0
MLO,2004,01,01,00,32,45,1.2,-9,-999.90,6.1,5.3,5.2,98,0
MLO,2004,01,01,00,33,64,1.1,-9,-999.90,5.9,5.2,5.1,98,0
MLO,2004,01,01,00,34,110,0.3,-9,-999.90,5.6,5.2,5.2,99,0
MLO,2004,01,01,00,35,289,0.1,-9,-999.90,5.6,5.2,5.2,99,0
MLO,2004,01,01,00,36,307,0.7,-9,-999.90,5.8,5.3,5.4,99,0
MLO,2004,01,01,00,37,321,0.8,-9,-999.90,5.9,5.4,5.4,98,0
