Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2011,12,01,00,00,342,2.0,-9,677.20,11.6,10.8,9.1,40,0
MLO,2011,12,01,00,01,4,1.9,-9,677.10,11.8,10.8,9.4,40,0
MLO,2011,12,01,00,02,356,1.9,-9,677.10,11.4,10.8,9.5,41,0
MLO,2011,12,01,00,03,36,2.8,-9,677.10,11.2,10.8,9.4,42,0
MLO,2011,12,01,00,04,10,1.8,-9,677.10,12.4,11.3,10.2,40,0
MLO,2011,12,01,00,05,16,2.4,-9,677.10,12.1,11.1,9.3,41,0
MLO,2011,12,01,00,06,13,2.0,-9,677.10,11.7,11.0,9.5,42,0
MLO,2011,12,01,00,07,351,2.1,-9,677.10,11.5,10.8,9.2,42,0
MLO,2011,12,01,00,08,342,2.2,-9,677.10,11.2,10.5,9.2,43,0
MLO,2011,12,01,00,09,1,2.2,-9,677.10,11.7,10.8,9.8,43,0
MLO,2011,12,01,00,10,4,3.9,-9,677.10,12.2,11.0,9.5,43,0
MLO,2011,12,01,00,11,2,3.2,-9,677.10,12.5,11.1,9.5,43,0
MLO,2011,12,01,00,12,357,3.0,-9,677.10,12.4,11.2,9.4,43,0
MLO,2011,12,01,00,13,2,4.2,-9,677.20,11.8,10.7,8.9,44,0
MLO,2011,12,01,00,14,7,3.8,-9,677.20,11.2,10.3,8.8,46,0
MLO,2011,12,01,00,15,357,2.7,-9,677.20,11.4,10.1,8.7,46,0
MLO,2011,12,01,00,16,358,2.9,-9,677.20,11.1,9.9,8.7,47,0
MLO,2011,12,01,00,17,354,2.3,-9,677.20,10.8,9.8,8.6,47,0
MLO,2011,12,01,00,18,17,3.4,-9,677.20,10.6,9.8,8.7,48,0
MLO,2011,12,01,00,19,11,4.0,-9,677.20,10.3,9.7,8.5,49,0
MLO,2011,12,01,00,20,14,3.4,-9,677.20,10.3,9.6,8.6,49,0
MLO,2011,12,01,00,21,24,3.7,-9,677.20,10.2,9.4,8.3,49,0
MLO,2011,12,01,00,22,30,3.6,-9,677.20,10.1,9.4,8.1,50,0
MLO,2011,12,01,00,23,5,3.3,-9,677.20,10.1,9.2,8.0,50,0
MLO,2011,12,01,00,24,338,4.4,-9,677.20,10.2,9.2,8.0,49,0
MLO,2011,12,01,00,25,338,3.9,-9,677.20,10.9,9.2,8.2,47,0
MLO,2011,12,01,00,26,351,2.6,-9,677.20,10.4,9.0,7.9,49,0
MLO,2011,12,01,00,27,330,2.3,-9,677.20,10.0,9.0,7.9,50,0
MLO,2011,12,01,00,28,320,1.9,-9,677.20,9.7,9.0,8.2,51,0
MLO,2011,12,01,00,29,340,2.1,-9,677.20,10.2,9.1,8.3,49,0
