Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2019,03,01,00,00,276,10.8,-9,676.14,8.3,6.7,5.3,14,0
MLO,2019,03,01,00,01,266,12.6,-9,676.09,8.1,6.6,5.3,15,0
MLO,2019,03,01,00,02,275,9.6,-9,676.13,8.2,6.8,5.3,14,0
MLO,2019,03,01,00,03,269,9.9,-9,676.10,8.7,7.0,5.7,15,0
MLO,2019,03,01,00,04,259,11.6,-9,676.08,8.6,6.8,5.6,13,0
MLO,2019,03,01,00,05,267,10.0,-9,676.07,8.6,6.8,5.5,12,0
MLO,2019,03,01,00,06,274,12.6,-9,676.13,8.5,7.1,5.5,17,0
MLO,2019,03,01,00,07,272,11.7,-9,676.11,8.1,6.9,5.2,17,0
MLO,2019,03,01,00,08,271,11.1,-9,676.10,8.3,6.8,5.2,16,0
MLO,2019,03,01,00,09,276,10.0,-9,676.13,8.4,6.9,5.2,17,0
MLO,2019,03,01,00,10,265,10.8,-9,676.06,8.0,6.9,5.2,17,0
MLO,2019,03,01,00,11,270,10.5,-9,676.07,8.5,6.8,5.3,18,0
MLO,2019,03,01,00,12,282,9.2,-9,676.06,8.7,6.9,5.4,18,0
MLO,2019,03,01,00,13,274,10.5,-9,676.07,8.8,7.1,5.7,17,0
MLO,2019,03,01,00,14,273,11.9,-9,676.02,8.2,7.0,5.5,16,0
MLO,2019,03,01,00,15,279,10.5,-9,676.04,7.9,6.6,5.3,16,0
MLO,2019,03,01,00,16,270,12.9,-9,676.03,7.8,6.7,5.2,17,0
MLO,2019,03,01,00,17,265,11.4,-9,675.98,7.7,6.6,5.1,18,0
MLO,2019,03,01,00,18,278,10.7,-9,676.03,8.3,6.7,5.3,17,0
MLO,2019,03,01,00,19,272,9.9,-9,676.03,8.1,6.7,5.4,18,0
MLO,2019,03,01,00,20,270,12.2,-9,675.95,8.0,6.8,5.3,18,0
MLO,2019,03,01,00,21,277,11.4,-9,675.96,8.2,6.7,5.2,18,0
MLO,2019,03,01,00,22,277,9.8,-9,675.97,8.4,7.0,5.4,18,0
MLO,2019,03,01,00,23,275,10.0,-9,675.96,8.1,6.6,5.3,18,0
MLO,2019,03,01,00,24,275,12.9,-9,675.97,8.0,7.1,5.3,18,0
MLO,2019,03,01,00,25,275,12.2,-9,675.98,7.7,6.9,5.0,19,0
MLO,2019,03,01,00,26,280,11.4,-9,675.98,7.8,6.4,5.0,18,0
MLO,2019,03,01,00,27,281,9.6,-9,675.98,7.9,6.7,5.0,18,0
MLO,2019,03,01,00,28,281,9.0,-9,675.94,8.1,6.8,5.1,18,0
MLO,2019,03,01,00,29,278,10.5,-9,675.93,8.5,7.0,5.6,17,0
MLO,2019,03,01,00,30,282,10.6,-9,675.93,8.3,6.7,5.4,17,0
MLO,2019,03,01,00,31,282,9.3,-9,675.92,8.1,6.7,5.2,16,0
MLO,2019,03,01,00,32,277,11.3,-9,675.91,8.3,6.5,5.2,17,0
MLO,2019,03,01,00,33,265,12.6,-9,675.87,8.1,6.7,5.1,20,0
MLO,2019,03,01,00,34,270,10.6,-9,675.90,8.0,6.3,4.9,22,0
MLO,2019,03,01,00,35,275,10.5,-9,675.87,8.0,6.5,4.9,23,0
MLO,2019,03,01,00,36,277,10.6,-9,675.86,8.1,6.5,5.2,22,0
MLO,2019,03,01,00,37,272,11.1,-9,675.87,8.0,6.6,5.4,23,0
MLO,2019,03,01,00,38,273,10.7,-9,675.88,8.5,6.8,5.5,23,0
MLO,2019,03,01,00,39,268,11.2,-9,675.84,8.0,6.5,5.4,21,0
MLO,2019,03,01,00,40,271,10.5,-9,675.84,7.9,6.7,5.2,21,0
MLO,2019,03,01,00,41,269,11.1,-9,675.85,8.2,6.7,5.4,21,0
MLO,2019,03,01,00,42,277,11.4,-9,675.87,8.0,6.5,5.4,21,0
MLO,2019,03,01,00,43,281,10.6,-9,675.85,7.9,6.5,5.3,21,0
MLO,2019,03,01,00,44,277,11.4,-9,675.86,8.0,6.3,5.2,21,0
MLO,2019,03,01,00,45,275,12.2,-9,675.81,8.1,6.6,5.2,20,0
MLO,2019,03,01,00,46,275,12.6,-9,675.83,8.1,6.7,5.1,21,0
MLO,2019,03,01,00,47,277,10.3,-9,675.86,8.2,6.5,5.1,20,0
MLO,2019,03,01,00,48,281,10.3,-9,675.84,8.3,6.7,5.1,20,0
MLO,2019,03,01,00,49,282,9.3,-9,675.85,8.2,7.0,5.3,20,0
MLO,2019,03,01,00,50,271,11.2,-9,675.82,8.4,6.8,5.4,21,0
MLO,2019,03,01,00,51,278,11.1,-9,675.84,8.4,6.9,5.3,21,0
MLO,2019,03,01,00,52,272,10.4,-9,675.82,8.3,6.9,5.2,21,0
MLO,2019,03,01,00,53,265,12.5,-9,675.75,8.3,7.0,5.3,20,0
MLO,2019,03,01,00,54,270,10.3,-9,675.78,8.3,6.9,5.4,19,0
MLO,2019,03,01,00,55,280,10.6,-9,675.80,8.2,7.0,5.4,19,0
MLO,2019,03,01,00,56,284,9.0,-9,675.78,8.6,7.0,5.5,20,0
MLO,2019,03,01,00,57,291,8.6,-9,675.75,8.5,7.0,5.4,20,0
MLO,2019,03,01,00,58,285,9.3,-9,675.78,8.3,6.9,5.2,19,0
MLO,2019,03,01,00,59,281,9.4,-9,675.78,7.9,6.8,5.2,21,0
MLO,2019,03,01,01,00,275,10.7,-9,675.78,8.3,6.8,5.5,22,0
MLO,2019,03,01,01,01,282,10.3,-9,675.78,8.6,7.2,5.7,19,0
MLO,2019,03,01,01,02,281,11.9,-9,675.79,8.4,7.1,5.4,19,0
MLO,2019,03,01,01,03,270,11.9,-9,675.75,8.2,6.9,5.2,20,0
MLO,2019,03,01,01,04,268,11.7,-9,675.75,8.2,6.9,5.2,20,0
MLO,2019,03,01,01,05,276,9.4,-9,675.76,8.3,6.7,5.3,20,0
MLO,2019,03,01,01,06,280,10.4,-9,675.78,8.7,7.1,5.5,20,0
MLO,2019,03,01,01,07,285,9.1,-9,675.77,8.6,7.2,5.6,20,0
MLO,2019,03,01,01,08,281,11.8,-9,675.75,8.7,7.0,5.5,20,0
MLO,2019,03,01,01,09,284,9.6,-9,675.76,8.4,7.0,5.5,19,0
MLO,2019,03,01,01,10,281,11.0,-9,675.78,8.3,7.1,5.3,20,0
MLO,2019,03,01,01,11,280,9.2,-9,675.73,7.8,6.8,5.1,19,0
MLO,2019,03,01,01,12,280,11.1,-9,675.75,7.9,6.9,5.1,19,0
MLO,2019,03,01,01,13,275,11.3,-9,675.71,8.0,6.8,5.3,18,0
MLO,2019,03,01,01,14,273,11.9,-9,675.72,8.1,6.8,5.2,17,0
MLO,2019,03,01,01,15,280,10.2,-9,675.73,8.2,6.8,5.2,18,0
MLO,2019,03,01,01,16,277,10.0,-9,675.72,7.8,6.7,5.2,19,0
MLO,2019,03,01,01,17,282,10.3,-9,675.70,8.0,6.8,5.3,19,0
MLO,2019,03,01,01,18,280,11.1,-9,675.70,8.2,6.9,5.3,18,0
MLO,2019,03,01,01,19,276,10.8,-9,675.69,8.0,6.9,5.1,18,0
MLO,2019,03,01,01,20,275,12.1,-9,675.66,8.0,6.8,5.2,19,0
MLO,2019,03,01,01,21,279,11.5,-9,675.67,7.9,6.9,5.2,20,0
MLO,2019,03,01,01,22,278,10.9,-9,675.68,7.8,6.5,5.1,20,0
MLO,2019,03,01,01,23,282,10.9,-9,675.71,7.8,6.8,5.0,20,0
MLO,2019,03,01,01,24,282,11.9,-9,675.72,7.6,6.8,4.9,22,0
MLO,2019,03,01,01,25,276,9.9,-9,675.70,7.5,6.2,4.8,22,0
MLO,2019,03,01,01,26,276,10.7,-9,675.69,7.8,6.4,4.9,22,0
MLO,2019,03,01,01,27,282,9.5,-9,675.69,7.9,6.6,5.0,23,0
MLO,2019,03,01,01,28,278,11.7,-9,675.65,7.8,6.6,5.0,22,0
MLO,2019,03,01,01,29,278,11.7,-9,675.64,7.7,6.7,4.9,20,0
MLO,2019,03,01,01,30,274,11.8,-9,675.64,7.8,6.5,4.9,20,0
MLO,2019,03,01,01,31,273,10.4,-9,675.65,7.8,6.4,4.9,19,0
MLO,2019,03,01,01,32,274,12.3,-9,675.62,7.7,6.6,5.0,19,0
MLO,2019,03,01,01,33,272,12.8,-9,675.61,7.5,6.7,4.9,19,0
MLO,2019,03,01,01,34,277,12.2,-9,675.63,7.3,6.3,4.8,20,0
MLO,2019,03,01,01,35,277,12.2,-9,675.64,7.3,6.3,4.8,21,0
MLO,2019,03,01,01,36,280,11.1,-9,675.62,7.5,6.2,4.8,22,0
MLO,2019,03,01,01,37,267,11.7,-9,675.59,7.3,6.5,4.9,23,0
MLO,2019,03,01,01,38,269,11.0,-9,675.59,7.6,6.4,5.0,22,0
MLO,2019,03,01,01,39,276,10.8,-9,675.62,7.9,6.3,5.2,22,0
MLO,2019,03,01,01,40,268,12.3,-9,675.58,7.8,6.5,5.0,23,0
MLO,2019,03,01,01,41,270,11.4,-9,675.56,7.5,6.2,4.9,23,0
MLO,2019,03,01,01,42,274,10.0,-9,675.59,7.6,6.3,5.0,22,0
MLO,2019,03,01,01,43,273,11.1,-9,675.56,7.8,6.4,5.1,22,0
MLO,2019,03,01,01,44,280,10.4,-9,675.57,7.9,6.7,5.2,23,0
MLO,2019,03,01,01,45,276,11.3,-9,675.54,7.9,6.7,5.3,24,0
MLO,2019,03,01,01,46,276,10.6,-9,675.54,7.7,6.8,5.2,26,0
MLO,2019,03,01,01,47,274,11.3,-9,675.52,7.6,6.9,5.3,25,0
MLO,2019,03,01,01,48,269,12.9,-9,675.52,7.5,6.5,5.1,26,0
MLO,2019,03,01,01,49,270,9.9,-9,675.52,7.7,6.4,5.1,26,0
MLO,2019,03,01,01,50,275,10.2,-9,675.51,7.8,6.5,5.3,26,0
MLO,2019,03,01,01,51,278,11.6,-9,675.50,7.9,6.6,5.4,27,0
MLO,2019,03,01,01,52,267,10.7,-9,675.50,7.8,6.7,5.3,27,0
MLO,2019,03,01,01,53,266,11.8,-9,675.46,8.0,6.8,5.3,27,0
MLO,2019,03,01,01,54,270,12.4,-9,675.48,7.7,6.5,5.2,27,0
MLO,2019,03,01,01,55,271,11.5,-9,675.51,7.6,6.7,5.0,27,0
MLO,2019,03,01,01,56,267,12.2,-9,675.48,7.5,6.6,5.0,27,0
MLO,2019,03,01,01,57,271,12.1,-9,675.49,7.5,6.5,5.0,27,0
MLO,2019,03,01,01,58,268,11.4,-9,675.47,7.5,6.4,5.0,26,0
MLO,2019,03,01,01,59,279,10.3,-9,675.51,7.7,6.5,5.3,27,0
MLO,2019,03,01,02,00,281,10.0,-9,675.54,7.8,6.6,5.2,27,0
MLO,2019,03,01,02,01,278,11.1,-9,675.51,7.6,6.7,5.1,26,0
MLO,2019,03,01,02,02,273,11.7,-9,675.51,7.8,6.7,5.2,25,0
MLO,2019,03,01,02,03,280,11.6,-9,675.52,7.7,6.4,5.2,26,0
MLO,2019,03,01,02,04,277,12.7,-9,675.51,7.3,6.5,5.1,26,0
MLO,2019,03,01,02,05,278,9.9,-9,675.51,7.3,6.6,5.1,25,0
MLO,2019,03,01,02,06,275,11.2,-9,675.52,7.6,6.3,5.3,25,0
MLO,2019,03,01,02,07,274,10.8,-9,675.51,7.5,6.3,5.1,26,0
MLO,2019,03,01,02,08,275,12.0,-9,675.54,7.4,6.6,5.1,26,0
MLO,2019,03,01,02,09,272,11.7,-9,675.52,7.1,6.5,5.0,25,0
MLO,2019,03,01,02,10,274,11.1,-9,675.55,7.3,6.3,5.1,26,0
MLO,2019,03,01,02,11,278,11.2,-9,675.56,7.2,6.2,5.0,26,0
MLO,2019,03,01,02,12,274,10.4,-9,675.55,7.2,6.3,4.9,26,0
MLO,2019,03,01,02,13,283,9.7,-9,675.53,7.2,6.3,5.0,29,0
MLO,2019,03,01,02,14,283,9.2,-9,675.55,7.3,6.3,4.9,34,0
MLO,2019,03,01,02,15,279,9.9,-9,675.57,7.1,6.3,4.8,33,0
MLO,2019,03,01,02,16,278,11.5,-9,675.56,7.1,6.4,4.8,31,0
MLO,2019,03,01,02,17,278,11.0,-9,675.57,7.0,6.3,4.8,33,0
MLO,2019,03,01,02,18,279,10.6,-9,675.55,6.9,6.1,4.8,37,0
MLO,2019,03,01,02,19,276,10.8,-9,675.53,6.9,6.3,4.8,32,0
MLO,2019,03,01,02,20,282,10.3,-9,675.55,6.8,6.0,4.8,34,0
MLO,2019,03,01,02,21,281,9.7,-9,675.53,6.8,6.0,4.8,35,0
MLO,2019,03,01,02,22,280,10.8,-9,675.53,6.8,6.2,4.8,34,0
MLO,2019,03,01,02,23,283,9.1,-9,675.53,6.8,6.2,4.7,36,0
MLO,2019,03,01,02,24,280,10.7,-9,675.53,6.8,5.9,4.6,35,0
MLO,2019,03,01,02,25,278,9.2,-9,675.53,6.8,5.9,4.7,34,0
MLO,2019,03,01,02,26,279,9.4,-9,675.54,7.0,6.0,4.9,31,0
MLO,2019,03,01,02,27,281,9.9,-9,675.53,7.0,6.2,4.8,30,0
MLO,2019,03,01,02,28,276,11.3,-9,675.56,6.8,6.3,4.7,30,0
MLO,2019,03,01,02,29,275,12.0,-9,675.57,6.6,5.9,4.7,29,0
MLO,2019,03,01,02,30,277,11.8,-9,675.60,6.5,5.6,4.5,28,0
MLO,2019,03,01,02,31,275,9.1,-9,675.62,6.5,5.8,4.5,28,0
MLO,2019,03,01,02,32,283,9.1,-9,675.64,6.9,5.8,4.5,26,0
MLO,2019,03,01,02,33,279,10.8,-9,675.64,6.6,5.9,4.4,26,0
MLO,2019,03,01,02,34,278,10.0,-9,675.63,6.5,5.9,4.4,29,0
MLO,2019,03,01,02,35,284,9.0,-9,675.66,6.5,5.9,4.5,32,0
MLO,2019,03,01,02,36,281,9.8,-9,675.66,6.4,5.6,4.4,31,0
MLO,2019,03,01,02,37,275,11.0,-9,675.66,6.4,5.5,4.6,30,0
MLO,2019,03,01,02,38,278,10.2,-9,675.67,6.4,5.5,4.5,29,0
MLO,2019,03,01,02,39,276,10.6,-9,675.68,6.4,5.7,4.5,29,0
MLO,2019,03,01,02,40,274,11.1,-9,675.69,6.3,5.7,4.5,29,0
MLO,2019,03,01,02,41,275,10.5,-9,675.71,6.3,5.8,4.5,29,0
MLO,2019,03,01,02,42,277,11.3,-9,675.72,6.3,5.5,4.5,28,0
MLO,2019,03,01,02,43,273,10.1,-9,675.73,6.1,5.8,4.5,27,0
MLO,2019,03,01,02,44,278,11.3,-9,675.76,6.2,5.8,4.4,25,0
MLO,2019,03,01,02,45,276,9.8,-9,675.78,6.2,5.6,4.3,24,0
MLO,2019,03,01,02,46,274,10.0,-9,675.76,6.2,5.5,4.4,24,0
MLO,2019,03,01,02,47,274,8.3,-9,675.80,6.5,5.5,4.5,25,0
MLO,2019,03,01,02,48,275,10.4,-9,675.78,6.4,5.4,4.5,26,0
MLO,2019,03,01,02,49,274,9.5,-9,675.78,6.2,5.4,4.5,25,0
MLO,2019,03,01,02,50,276,10.3,-9,675.78,6.3,5.7,4.5,25,0
MLO,2019,03,01,02,51,276,10.0,-9,675.80,6.3,5.7,4.4,26,0
MLO,2019,03,01,02,52,276,10.1,-9,675.80,6.2,5.6,4.3,26,0
MLO,2019,03,01,02,53,280,10.4,-9,675.81,6.1,5.4,4.3,26,0
MLO,2019,03,01,02,54,275,8.7,-9,675.82,6.1,5.8,4.3,26,0
MLO,2019,03,01,02,55,278,10.4,-9,675.84,6.3,5.5,4.4,28,0
MLO,2019,03,01,02,56,274,10.4,-9,675.83,6.1,5.6,4.4,28,0
MLO,2019,03,01,02,57,275,9.9,-9,675.82,6.2,5.7,4.4,27,0
MLO,2019,03,01,02,58,273,10.3,-9,675.83,6.3,5.4,4.5,27,0
MLO,2019,03,01,02,59,264,10.0,-9,675.82,6.2,5.6,4.5,26,0
MLO,2019,03,01,03,00,267,10.1,-9,675.81,6.2,5.5,4.5,25,0
MLO,2019,03,01,03,01,269,9.8,-9,675.84,6.1,5.6,4.5,25,0
MLO,2019,03,01,03,02,274,10.2,-9,675.82,6.1,5.4,4.5,27,0
MLO,2019,03,01,03,03,268,9.8,-9,675.82,6.1,5.6,4.4,28,0
MLO,2019,03,01,03,04,260,10.7,-9,675.82,6.1,5.7,4.4,28,0
MLO,2019,03,01,03,05,260,8.9,-9,675.83,6.3,5.4,4.4,27,0
MLO,2019,03,01,03,06,270,9.9,-9,675.83,6.2,5.5,4.4,27,0
MLO,2019,03,01,03,07,274,10.9,-9,675.85,5.9,5.6,4.4,27,0
MLO,2019,03,01,03,08,273,11.3,-9,675.84,5.8,5.4,4.3,27,0
MLO,2019,03,01,03,09,272,11.1,-9,675.86,5.7,5.5,4.3,28,0
MLO,2019,03,01,03,10,268,10.7,-9,675.87,5.8,5.2,4.4,28,0
