Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2020,04,01,00,00,300,3.8,-9,677.43,3.2,3.2,2.8,99,0
MLO,2020,04,01,00,01,308,3.4,-9,677.40,3.3,3.4,2.9,98,0
MLO,2020,04,01,00,02,321,3.9,-9,677.39,3.1,3.2,2.7,100,0
MLO,2020,04,01,00,03,314,3.8,-9,677.37,3.0,3.2,2.7,100,0
MLO,2020,04,01,00,04,298,4.3,-9,677.37,3.0,3.1,2.8,101,0
MLO,2020,04,01,00,05,281,3.8,-9,677.38,2.9,3.0,2.6,101,0
MLO,2020,04,01,00,06,282,4.0,-9,677.38,2.8,2.9,2.5,102,0
MLO,2020,04,01,00,07,279,4.4,-9,677.34,2.6,2.7,2.5,102,0
MLO,2020,04,01,00,08,284,4.4,-9,677.33,2.7,2.7,2.4,101,0
MLO,2020,04,01,00,09,284,4.2,-9,677.31,2.4,2.7,2.3,104,0
MLO,2020,04,01,00,10,282,4.1,-9,677.29,2.4,2.8,2.3,102,0
MLO,2020,04,01,00,11,291,3.6,-9,677.28,2.7,2.9,2.4,101,0
MLO,2020,04,01,00,12,286,4.1,-9,677.29,2.7,3.0,2.5,102,0
MLO,2020,04,01,00,13,284,3.8,-9,677.29,2.7,3.0,2.6,103,0
MLO,2020,04,01,00,14,294,3.5,-9,677.29,2.5,3.1,2.7,104,0
MLO,2020,04,01,00,15,301,3.9,-9,677.28,2.6,3.1,2.7,103,0
MLO,2020,04,01,00,16,308,3.1,-9,677.24,2.4,2.9,2.6,105,15
MLO,2020,04,01,00,17,329,4.0,-9,677.22,2.5,2.9,2.6,103,0
MLO,2020,04,01,00,18,306,3.4,-9,677.25,2.5,2.8,2.5,103,0
MLO,2020,04,01,00,19,298,3.2,-9,677.29,2.4,2.8,2.5,103,0
MLO,2020,04,01,00,20,280,3.9,-9,677.31,2.4,2.8,2.5,103,15
MLO,2020,04,01,00,21,282,3.7,-9,677.30,2.4,2.7,2.4,103,0
MLO,2020,04,01,00,22,261,5.6,-9,677.31,2.8,2.8,2.5,101,0
MLO,2020,04,01,00,23,255,5.1,-9,677.31,2.5,2.5,2.2,102,0
MLO,2020,04,01,00,24,265,5.7,-9,677.31,2.8,2.6,2.2,100,15
MLO,2020,04,01,00,25,258,4.1,-9,677.26,2.3,2.1,1.9,102,0
MLO,2020,04,01,00,26,253,3.0,-9,677.19,2.4,2.3,1.9,99,0
MLO,2020,04,01,00,27,257,2.6,-9,677.15,2.5,2.2,1.8,99,0
MLO,2020,04,01,00,28,248,3.7,-9,677.10,2.3,2.2,1.8,99,0
MLO,2020,04,01,00,29,244,3.1,-9,677.11,2.5,2.5,1.9,97,0
MLO,2020,04,01,00,30,248,3.8,-9,677.08,2.4,2.6,1.8,96,0
MLO,2020,04,01,00,31,260,3.9,-9,677.05,2.5,2.6,1.9,94,15
MLO,2020,04,01,00,32,254,4.7,-9,677.03,2.7,2.7,2.0,92,0
MLO,2020,04,01,00,33,271,3.3,-9,677.02,3.0,2.9,2.2,92,0
MLO,2020,04,01,00,34,284,2.9,-9,676.98,2.9,2.7,2.3,94,0
MLO,2020,04,01,00,35,276,3.3,-9,676.95,2.8,2.7,2.3,92,0
MLO,2020,04,01,00,36,282,2.8,-9,676.95,3.0,2.9,2.4,91,0
MLO,2020,04,01,00,37,285,3.0,-9,676.94,3.2,3.0,2.6,92,0
MLO,2020,04,01,00,38,300,3.0,-9,676.95,3.1,2.9,2.6,93,0
MLO,2020,04,01,00,39,300,3.9,-9,676.93,3.2,3.0,2.6,93,0
MLO,2020,04,01,00,40,284,4.1,-9,676.93,3.3,3.1,2.7,93,0
MLO,2020,04,01,00,41,289,3.8,-9,676.92,3.3,3.1,2.6,93,0
MLO,2020,04,01,00,42,288,4.5,-9,676.91,3.2,2.9,2.5,94,0
MLO,2020,04,01,00,43,292,3.9,-9,676.92,3.2,2.8,2.5,92,0
MLO,2020,04,01,00,44,286,4.6,-9,676.93,3.4,2.9,2.5,93,0
MLO,2020,04,01,00,45,279,5.6,-9,676.92,3.3,2.8,2.5,94,0
MLO,2020,04,01,00,46,273,4.8,-9,676.92,3.2,2.9,2.5,93,0
MLO,2020,04,01,00,47,284,4.1,-9,676.94,3.3,3.0,2.7,93,0
MLO,2020,04,01,00,48,288,3.9,-9,676.95,3.3,2.9,2.7,95,0
MLO,2020,04,01,00,49,281,4.5,-9,676.98,3.6,3.0,2.7,95,0
MLO,2020,04,01,00,50,292,4.0,-9,676.97,3.4,2.9,2.6,97,0
MLO,2020,04,01,00,51,304,4.3,-9,676.96,3.4,2.8,2.6,97,0
MLO,2020,04,01,00,52,297,4.8,-9,676.95,3.3,2.9,2.7,98,0
MLO,2020,04,01,00,53,291,4.3,-9,676.95,3.2,2.8,2.6,98,0
MLO,2020,04,01,00,54,300,4.8,-9,677.00,3.4,3.0,2.7,97,0
MLO,2020,04,01,00,55,289,4.5,-9,676.99,3.1,2.8,2.5,99,0
MLO,2020,04,01,00,56,282,4.0,-9,677.00,3.2,2.9,2.5,97,0
MLO,2020,04,01,00,57,280,4.8,-9,677.00,3.2,2.8,2.5,98,0
MLO,2020,04,01,00,58,288,4.2,-9,677.01,3.1,2.7,2.4,99,0
MLO,2020,04,01,00,59,282,4.7,-9,677.04,3.3,2.6,2.3,98,0
MLO,2020,04,01,01,00,274,6.1,-9,677.04,2.9,2.4,2.1,100,15
MLO,2020,04,01,01,01,283,4.5,-9,677.05,3.0,2.5,2.3,98,0
MLO,2020,04,01,01,02,290,4.4,-9,677.07,3.2,2.7,2.3,97,0
MLO,2020,04,01,01,03,278,5.1,-9,677.08,3.2,2.5,2.2,98,0
MLO,2020,04,01,01,04,284,3.3,-9,677.09,2.8,2.4,2.1,99,0
MLO,2020,04,01,01,05,284,3.6,-9,677.12,3.1,2.7,2.3,97,0
MLO,2020,04,01,01,06,283,4.2,-9,677.12,3.4,2.9,2.5,96,0
MLO,2020,04,01,01,07,278,4.7,-9,677.13,3.5,2.9,2.5,98,0
MLO,2020,04,01,01,08,270,6.0,-9,677.13,3.0,2.7,2.4,100,0
MLO,2020,04,01,01,09,269,5.1,-9,677.15,3.3,2.9,2.5,97,0
MLO,2020,04,01,01,10,258,5.6,-9,677.15,3.0,2.7,2.4,99,0
MLO,2020,04,01,01,11,268,4.5,-9,677.14,3.1,2.7,2.4,98,0
MLO,2020,04,01,01,12,269,4.2,-9,677.12,3.0,2.7,2.3,97,15
MLO,2020,04,01,01,13,275,4.8,-9,677.12,3.0,2.7,2.2,97,0
MLO,2020,04,01,01,14,267,4.4,-9,677.08,3.2,2.7,2.3,95,0
MLO,2020,04,01,01,15,257,3.9,-9,677.06,3.3,2.8,2.4,95,0
MLO,2020,04,01,01,16,291,2.8,-9,677.04,3.2,2.8,2.5,96,0
MLO,2020,04,01,01,17,280,3.3,-9,677.04,3.2,2.8,2.4,96,0
MLO,2020,04,01,01,18,277,3.7,-9,677.04,3.3,2.9,2.5,96,15
MLO,2020,04,01,01,19,309,2.8,-9,677.01,3.2,2.7,2.5,97,0
MLO,2020,04,01,01,20,309,2.1,-9,677.01,2.9,2.5,2.4,97,15
MLO,2020,04,01,01,21,279,3.2,-9,677.02,2.9,2.5,2.5,97,0
MLO,2020,04,01,01,22,302,4.7,-9,677.03,3.0,2.7,2.6,96,0
MLO,2020,04,01,01,23,321,4.1,-9,677.03,3.0,2.5,2.3,97,0
MLO,2020,04,01,01,24,322,4.2,-9,677.03,3.0,2.6,2.3,97,0
MLO,2020,04,01,01,25,321,5.0,-9,677.03,3.0,2.6,2.3,97,0
MLO,2020,04,01,01,26,328,4.9,-9,677.04,2.9,2.4,2.2,98,0
MLO,2020,04,01,01,27,308,3.7,-9,677.04,2.8,2.4,2.3,98,0
MLO,2020,04,01,01,28,305,4.6,-9,677.04,2.9,2.5,2.4,98,0
MLO,2020,04,01,01,29,300,4.0,-9,677.04,2.9,2.5,2.4,98,0
MLO,2020,04,01,01,30,297,3.4,-9,677.05,2.9,2.4,2.4,98,0
MLO,2020,04,01,01,31,294,3.4,-9,677.04,2.9,2.5,2.4,98,0
MLO,2020,04,01,01,32,292,4.0,-9,677.05,3.2,2.7,2.4,97,0
MLO,2020,04,01,01,33,283,4.2,-9,677.05,3.1,2.6,2.4,98,0
MLO,2020,04,01,01,34,285,4.1,-9,677.05,3.0,2.5,2.3,99,0
MLO,2020,04,01,01,35,279,4.1,-9,677.05,2.8,2.3,2.2,99,0
MLO,2020,04,01,01,36,279,3.8,-9,677.05,2.8,2.4,2.3,99,0
MLO,2020,04,01,01,37,293,4.0,-9,677.05,2.9,2.5,2.4,98,0
MLO,2020,04,01,01,38,283,4.8,-9,677.06,2.8,2.4,2.4,99,0
MLO,2020,04,01,01,39,276,3.7,-9,677.06,2.9,2.5,2.4,98,0
MLO,2020,04,01,01,40,260,3.5,-9,677.04,2.9,2.5,2.4,99,0
MLO,2020,04,01,01,41,294,4.2,-9,677.03,3.2,2.8,2.6,98,0
MLO,2020,04,01,01,42,279,5.5,-9,677.01,3.0,2.8,2.5,99,0
MLO,2020,04,01,01,43,283,4.7,-9,676.99,2.9,2.6,2.5,100,0
MLO,2020,04,01,01,44,295,5.2,-9,676.98,3.0,2.6,2.6,99,0
MLO,2020,04,01,01,45,286,4.6,-9,677.01,3.0,2.8,2.5,99,15
MLO,2020,04,01,01,46,281,5.8,-9,677.01,3.1,2.8,2.4,99,0
MLO,2020,04,01,01,47,276,6.4,-9,677.00,2.8,2.4,2.2,100,0
MLO,2020,04,01,01,48,273,5.8,-9,676.99,2.7,2.3,2.0,99,15
MLO,2020,04,01,01,49,271,7.4,-9,676.96,2.6,2.2,2.0,99,0
MLO,2020,04,01,01,50,268,7.3,-9,676.96,2.7,2.3,2.1,98,0
MLO,2020,04,01,01,51,271,7.4,-9,676.95,2.6,2.3,2.1,99,0
MLO,2020,04,01,01,52,266,7.9,-9,676.95,2.6,2.3,2.0,99,0
MLO,2020,04,01,01,53,266,7.6,-9,676.93,2.7,2.3,2.0,99,0
