Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2018,12,1,0,0,27,1.7,-9,678.1,7.4,7,6.5,91,0
MLO,2018,12,1,0,1,20,2,-9,678.09,7.6,7.3,6.6,91,0
MLO,2018,12,1,0,2,4,2.6,-9,678.09,7.7,7.4,6.8,91,0
MLO,2018,12,1,0,3,1,2.2,-9,678.09,7.8,7.1,6.8,92,0
MLO,2018,12,1,0,4,360,1.7,-9,678.09,7.7,7.1,6.6,91,0
MLO,2018,12,1,0,5,26,1.3,-9,678.09,7.7,7.1,6.7,90,0
MLO,2018,12,1,0,6,29,1.6,-9,678.07,7.4,7.2,6.7,93,0
MLO,2018,12,1,0,7,30,1.4,-9,678.06,7.2,7.1,6.7,94,0
MLO,2018,12,1,0,8,26,2.2,-9,678.05,7.3,7.2,6.7,94,0
MLO,2018,12,1,0,9,23,2.4,-9,678.05,7.4,7.3,6.7,94,0
MLO,2018,12,1,0,10,14,2.5,-9,678.04,7.6,7.4,6.8,94,0
MLO,2018,12,1,0,11,8,3.8,-9,678.03,7.7,7.3,6.8,93,0
MLO,2018,12,1,0,12,20,3.3,-9,678.04,7.7,7.1,6.7,93,0
MLO,2018,12,1,0,13,20,3,-9,678.05,7.5,7,6.6,92,0
MLO,2018,12,1,0,14,47,1.8,-9,678.07,7.3,7,6.6,92,0
MLO,2018,12,1,0,15,10,1.5,-9,678.06,7.3,7.2,6.7,94,0
MLO,2018,12,1,0,16,357,2.9,-9,678.06,7.7,7.5,6.8,93,0
MLO,2018,12,1,0,17,8,4.2,-9,678.06,8,7.2,6.6,93,0
MLO,2018,12,1,0,18,7,3.4,-9,678.07,7.6,6.9,6.5,93,0
MLO,2018,12,1,0,19,14,3.4,-9,678.08,7.5,7,6.4,93,0
MLO,2018,12,1,0,20,19,2.4,-9,678.11,7.3,6.9,6.3,93,0
MLO,2018,12,1,0,21,16,2.2,-9,678.12,7.5,7,6.4,91,0
MLO,2018,12,1,0,22,21,2,-9,678.13,7.7,6.9,6.5,91,0
