Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2018,2,1,0,0,218,13.2,-9,674.6,7.8,7.2,5,35,0
MLO,2018,2,1,0,1,222,11.6,-9,674.6,7.8,7.2,4.9,34,0
MLO,2018,2,1,0,2,233,12.6,-9,674.7,7.8,7.2,5,34,0
MLO,2018,2,1,0,3,228,12.2,-9,674.7,7.7,7.1,5.1,36,0
MLO,2018,2,1,0,4,220,12.4,-9,674.7,7.8,7.3,5,36,0
MLO,2018,2,1,0,5,217,14.3,-9,674.6,7.5,6.9,4.5,38,0
MLO,2018,2,1,0,6,220,12.3,-9,674.6,7.6,7,4.8,37,0
MLO,2018,2,1,0,7,225,13.1,-9,674.6,7.6,7.1,4.9,35,0
MLO,2018,2,1,0,8,224,12.3,-9,674.6,7.5,7.1,5,35,0
MLO,2018,2,1,0,9,222,12.9,-9,674.6,7.4,7,4.9,37,0
MLO,2018,2,1,0,10,218,12,-9,674.7,7.6,7.1,5,35,0
MLO,2018,2,1,0,11,218,13.7,-9,674.5,7.5,7.1,4.7,35,0
MLO,2018,2,1,0,12,223,11.1,-9,674.6,7.8,7.2,5,34,0
MLO,2018,2,1,0,13,229,13.5,-9,674.7,7.9,7.2,5.1,29,0
MLO,2018,2,1,0,14,224,13.7,-9,674.6,7.7,7.1,4.9,27,0
MLO,2018,2,1,0,15,230,11.5,-9,674.7,7.6,7.1,5.2,29,0
MLO,2018,2,1,0,16,223,11.5,-9,674.6,7.8,7.3,5.6,32,0
MLO,2018,2,1,0,17,229,13.2,-9,674.5,7.7,7.3,5.2,32,0
MLO,2018,2,1,0,18,225,13.2,-9,674.5,7.6,7.2,5.1,31,0
MLO,2018,2,1,0,19,227,13.5,-9,674.6,7.6,7.1,5.2,29,0
MLO,2018,2,1,0,20,221,10.3,-9,674.6,7.8,7.2,5.6,35,0
MLO,2018,2,1,0,21,223,12.7,-9,674.5,7.9,7.5,5.5,32,0
MLO,2018,2,1,0,22,225,14.3,-9,674.6,7.7,7.2,5.1,30,0
MLO,2018,2,1,0,23,221,13.1,-9,674.5,7.6,7.1,5.1,32,0
MLO,2018,2,1,0,24,223,13,-9,674.5,7.8,7.3,5.4,31,0
MLO,2018,2,1,0,25,221,11.3,-9,674.5,7.9,7.4,5.5,29,0
MLO,2018,2,1,0,26,221,12.7,-9,674.5,8.2,7.6,5.5,29,0
MLO,2018,2,1,0,27,226,12,-9,674.5,8.1,7.6,5.2,27,0
MLO,2018,2,1,0,28,228,11.5,-9,674.6,8.3,7.8,5.6,29,0
MLO,2018,2,1,0,29,233,11,-9,674.5,8.2,7.7,5.8,29,0
MLO,2018,2,1,0,30,225,12.2,-9,674.6,8.4,7.8,5.9,29,0
MLO,2018,2,1,0,31,224,11.1,-9,674.5,8.7,8,6.1,30,0
MLO,2018,2,1,0,32,229,13.9,-9,674.5,8.3,7.8,5.6,28,0
MLO,2018,2,1,0,33,230,13.7,-9,674.5,8.2,7.5,5.4,28,0
MLO,2018,2,1,0,34,224,11.8,-9,674.6,7.9,7.3,5.2,33,0
MLO,2018,2,1,0,35,232,10.7,-9,674.7,8.2,7.6,5.5,34,0
MLO,2018,2,1,0,36,224,10.9,-9,674.6,8.3,7.7,5.7,32,0
MLO,2018,2,1,0,37,227,10,-9,674.6,8.6,8,6.1,30,0
MLO,2018,2,1,0,38,223,11.8,-9,674.5,8.5,8,6.1,27,0
MLO,2018,2,1,0,39,221,10.2,-9,674.5,8.6,8.1,6.1,25,0
MLO,2018,2,1,0,40,219,11.3,-9,674.5,8.6,8.1,5.8,24,0
MLO,2018,2,1,0,41,223,12.5,-9,674.6,8.6,8,5.6,27,0
