Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2018,7,1,0,0,20,8.4,-9,680.23,13.5,10.2,10.2,17,0
MLO,2018,7,1,0,1,11,5.3,-9,680.19,13.3,10.3,10.3,19,0
MLO,2018,7,1,0,2,24,3.6,-9,680.2,12.7,10.1,10.1,19,0
MLO,2018,7,1,0,3,37,7.6,-9,680.19,13,10.2,10.3,17,0
MLO,2018,7,1,0,4,46,8.6,-9,680.17,13.7,10.5,10.5,14,0
MLO,2018,7,1,0,5,48,5.1,-9,680.2,14.1,10.2,10.2,14,0
MLO,2018,7,1,0,6,62,5.1,-9,680.2,13.8,10.1,10.1,15,0
MLO,2018,7,1,0,7,37,6,-9,680.17,14,10,10,15,0
MLO,2018,7,1,0,8,40,5.3,-9,680.19,14.3,9.8,9.8,14,0
MLO,2018,7,1,0,9,21,4.1,-9,680.15,13,9.8,9.8,16,0
MLO,2018,7,1,0,10,32,8.6,-9,680.11,13.4,10.3,10.3,19,0
MLO,2018,7,1,0,11,29,8.8,-9,680.05,14.6,10.8,10.8,20,0
MLO,2018,7,1,0,12,36,7.9,-9,680.09,14.2,10.6,10.6,20,0
MLO,2018,7,1,0,13,38,6.5,-9,680.14,13.4,10.2,10.2,19,0
MLO,2018,7,1,0,14,44,5.7,-9,680.15,13.2,10,10,19,0
MLO,2018,7,1,0,15,24,7.2,-9,680.12,12.9,10.1,10.1,21,0
MLO,2018,7,1,0,16,34,7.1,-9,680.11,13.5,10.3,10.3,18,0
MLO,2018,7,1,0,17,15,7.9,-9,680.1,13.1,10.2,10.2,17,0
MLO,2018,7,1,0,18,31,9.2,-9,680.12,13.5,10.3,10.3,17,0
MLO,2018,7,1,0,19,28,7.7,-9,680.11,13.7,10.2,10.2,17,0
MLO,2018,7,1,0,20,36,7,-9,680.14,13.8,10.1,10.1,18,0
MLO,2018,7,1,0,21,44,5.2,-9,680.16,13.7,9.9,9.9,18,0
MLO,2018,7,1,0,22,34,7.2,-9,680.15,13.2,9.6,9.6,18,0
MLO,2018,7,1,0,23,5,5.5,-9,680.11,12.9,9.6,9.6,19,0
MLO,2018,7,1,0,24,10,3.8,-9,680.12,12.5,9.7,9.7,18,0
MLO,2018,7,1,0,25,33,7.9,-9,680.11,12.4,9.9,9.9,19,0
MLO,2018,7,1,0,26,45,5.1,-9,680.11,13.3,10,10,18,0
MLO,2018,7,1,0,27,28,9.3,-9,680.07,14.2,10.4,10.3,18,0
MLO,2018,7,1,0,28,33,7.2,-9,680.03,13.8,10.4,10.4,20,0
MLO,2018,7,1,0,29,28,7,-9,680.05,13.7,10.2,10.2,22,0
MLO,2018,7,1,0,30,22,9.1,-9,680.07,13.1,10,10,23,0
MLO,2018,7,1,0,31,28,8.7,-9,680.01,13.8,10.5,10.5,20,0
MLO,2018,7,1,0,32,28,9.1,-9,680,14,10.7,10.7,21,0
MLO,2018,7,1,0,33,20,7.9,-9,680,14.7,10.7,10.7,21,0
MLO,2018,7,1,0,34,28,6.5,-9,680.02,14.2,10.6,10.6,21,0
MLO,2018,7,1,0,35,37,9.8,-9,680,13.7,10.4,10.4,20,0
MLO,2018,7,1,0,36,28,8.5,-9,679.97,14.1,10.4,10.4,19,0
MLO,2018,7,1,0,37,33,8.3,-9,680.04,14.3,10.4,10.4,19,0
MLO,2018,7,1,0,38,27,8.4,-9,680.03,14.2,10.6,10.6,20,0
MLO,2018,7,1,0,39,31,7.4,-9,680.02,13.6,10.4,10.4,20,0
MLO,2018,7,1,0,40,45,3.4,-9,680.06,12.9,10.1,10.1,21,0
MLO,2018,7,1,0,41,34,8.7,-9,680.04,13,10.2,10.2,21,0
MLO,2018,7,1,0,42,36,9.7,-9,679.99,13.5,10.2,10.2,20,0
MLO,2018,7,1,0,43,42,6.9,-9,680.03,13.7,10,10,21,0
MLO,2018,7,1,0,44,57,6,-9,680.03,13.1,9.9,9.9,23,0
MLO,2018,7,1,0,45,31,6.4,-9,680,13.3,10.1,10.1,24,0
MLO,2018,7,1,0,46,36,8.6,-9,679.97,13.7,10.3,10.3,25,0
MLO,2018,7,1,0,47,50,6.9,-9,680,13.7,10.4,10.3,22,0
MLO,2018,7,1,0,48,31,8.5,-9,679.96,13.4,10.3,10.3,22,0
MLO,2018,7,1,0,49,22,4,-9,679.98,12.9,10.1,10.1,26,0
MLO,2018,7,1,0,50,60,4.2,-9,679.94,13.1,10.3,10.3,25,0
MLO,2018,7,1,0,51,52,4.2,-9,680.03,13.6,10.5,10.5,22,0
MLO,2018,7,1,0,52,40,7.5,-9,679.99,13.6,10.3,10.3,23,0
