Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2018,3,1,0,0,332,4,-9,678.7,12.6,10.7,9.7,59,0
MLO,2018,3,1,0,1,326,3.8,-9,678.7,11.8,10.5,9.7,61,0
MLO,2018,3,1,0,2,321,4.2,-9,678.7,12.4,10.7,9.8,59,0
MLO,2018,3,1,0,3,305,3.3,-9,678.7,12,10.6,9.6,61,0
MLO,2018,3,1,0,4,330,2.3,-9,678.7,12.1,10.8,9.7,60,0
MLO,2018,3,1,0,5,328,3,-9,678.6,12.1,10.8,9.8,58,0
MLO,2018,3,1,0,6,315,3.3,-9,678.6,12.1,10.8,9.8,57,0
MLO,2018,3,1,0,7,312,2.7,-9,678.5,12.8,11.2,10,53,0
MLO,2018,3,1,0,8,327,2.9,-9,678.5,12.8,11.2,10.2,53,0
MLO,2018,3,1,0,9,338,4.7,-9,678.4,13.1,11.1,10.2,52,0
MLO,2018,3,1,0,10,336,5.4,-9,678.4,13.9,11.5,10.3,43,0
MLO,2018,3,1,0,11,324,4.6,-9,678.4,13.3,11.5,10.4,46,0
MLO,2018,3,1,0,12,331,4.7,-9,678.3,13.3,11.6,10.4,45,0
MLO,2018,3,1,0,13,324,4.2,-9,678.3,13.3,11.5,10.5,45,0
MLO,2018,3,1,0,14,335,3.7,-9,678.3,13.9,12,10.7,45,0
MLO,2018,3,1,0,15,324,3.5,-9,678.3,13.4,11.7,10.7,41,0
MLO,2018,3,1,0,16,329,2.7,-9,678.3,13.2,11.9,10.9,37,0
MLO,2018,3,1,0,17,323,3.8,-9,678.3,13.7,12.4,11.3,35,0
MLO,2018,3,1,0,18,328,3.8,-9,678.3,14.3,12.9,11.7,33,0
MLO,2018,3,1,0,19,336,5,-9,678.2,14.5,13,11.8,35,0
MLO,2018,3,1,0,20,340,5.7,-9,678.2,14.8,12.9,11.8,31,0
MLO,2018,3,1,0,21,337,4.6,-9,678.2,14.4,12.7,11.7,32,0
MLO,2018,3,1,0,22,356,4.2,-9,678.1,14.6,12.8,11.6,39,0
MLO,2018,3,1,0,23,358,4.2,-9,678.2,14.2,12.5,11.4,36,0
MLO,2018,3,1,0,24,9,3.8,-9,678.1,13.8,12.5,11.5,36,0
MLO,2018,3,1,0,25,6,3.7,-9,678.1,13.5,12.5,11.5,40,0
MLO,2018,3,1,0,26,356,4,-9,678.1,13.8,12.5,11.5,40,0
MLO,2018,3,1,0,27,344,6.2,-9,678.1,14.3,12.6,11.4,41,0
MLO,2018,3,1,0,28,345,5.7,-9,678.2,13.2,11.7,10.7,57,0
MLO,2018,3,1,0,29,340,4,-9,678.3,12.4,11,10.2,61,0
MLO,2018,3,1,0,30,319,5.1,-9,678.3,12.4,10.8,9.7,61,0
MLO,2018,3,1,0,31,292,5.4,-9,678.3,12.3,10.7,9.6,61,0
MLO,2018,3,1,0,32,284,2.7,-9,678.3,12.1,10.9,9.5,56,0
MLO,2018,3,1,0,33,291,1.9,-9,678.3,12.2,10.8,9.8,53,0
MLO,2018,3,1,0,34,319,0.6,-9,678.3,11.5,10.8,10.1,47,0
MLO,2018,3,1,0,35,24,0.2,-9,678.2,11.4,11,10.2,47,0
MLO,2018,3,1,0,36,60,0.9,-9,678.2,11.4,10.9,10.2,48,0
MLO,2018,3,1,0,37,45,0.2,-9,678.2,11.7,11,10.3,46,0
MLO,2018,3,1,0,38,104,0.1,-9,678.3,11.8,11.2,10.6,44,0
MLO,2018,3,1,0,39,282,1,-9,678.3,12.3,11.5,10.8,42,0
MLO,2018,3,1,0,40,311,1.5,-9,678.3,12.3,11.5,10.6,43,0
MLO,2018,3,1,0,41,20,0.3,-9,678.3,12.4,11.6,10.5,43,0
MLO,2018,3,1,0,42,68,1,-9,678.3,12.7,11.9,10.7,46,0
MLO,2018,3,1,0,43,80,0.9,-9,678.3,12.8,12.2,10.7,48,0
MLO,2018,3,1,0,44,34,1.1,-9,678.3,12.8,12.1,10.8,49,0
MLO,2018,3,1,0,45,54,1.5,-9,678.3,13.2,12.3,10.7,48,0
MLO,2018,3,1,0,46,10,1.5,-9,678.3,13,12.2,10.9,47,0
MLO,2018,3,1,0,47,335,0.7,-9,678.3,13.3,12.4,11,42,0
MLO,2018,3,1,0,48,61,1.5,-9,678.3,13,12.4,11.2,43,0
MLO,2018,3,1,0,49,337,4.1,-9,678.4,12.9,12.1,10.8,51,0
MLO,2018,3,1,0,50,304,5.2,-9,678.3,11.9,11,9.6,64,0
MLO,2018,3,1,0,51,309,5.5,-9,678.3,12.3,10.5,9.1,64,0
MLO,2018,3,1,0,52,312,5,-9,678.3,11.9,10.3,9.3,63,0
MLO,2018,3,1,0,53,303,4.1,-9,678.3,11.5,10.2,9.3,64,0
MLO,2018,3,1,0,54,305,3.3,-9,678.3,11.9,10.3,9.5,56,0
MLO,2018,3,1,0,55,299,2.8,-9,678.2,11.8,10.4,9.5,52,0
MLO,2018,3,1,0,56,308,2.5,-9,678.2,11.8,10.5,9.8,50,0
MLO,2018,3,1,0,57,296,2.3,-9,678.2,11.5,10.5,9.7,52,0
MLO,2018,3,1,0,58,297,3.1,-9,678.2,12.4,10.9,10,45,0
MLO,2018,3,1,0,59,297,2.9,-9,678.2,12.3,11,10.1,44,0
MLO,2018,3,1,1,0,302,2.6,-9,678.2,12.4,11.1,10.2,46,0
MLO,2018,3,1,1,1,307,2.8,-9,678.1,12.7,11.5,10.5,45,0
MLO,2018,3,1,1,2,287,2.4,-9,678.1,12.7,11.8,11,43,0
MLO,2018,3,1,1,3,286,2.8,-9,678.1,12.5,11.8,11,42,0
MLO,2018,3,1,1,4,301,2.3,-9,678.1,12.3,11.7,11,45,0
MLO,2018,3,1,1,5,308,2.7,-9,678.1,13.2,11.9,11,44,0
MLO,2018,3,1,1,6,318,2.2,-9,678.1,13.1,12.2,10.9,44,0
MLO,2018,3,1,1,7,338,1.9,-9,678.1,12.5,11.8,10.8,46,0
MLO,2018,3,1,1,8,323,0.2,-9,678.2,12.4,11.9,10.9,46,0
MLO,2018,3,1,1,9,106,0.7,-9,678.2,12.6,12.1,11.1,45,0
MLO,2018,3,1,1,10,115,4.1,-9,678.2,12.6,12,11.1,46,0
MLO,2018,3,1,1,11,131,4.8,-9,678.1,13,12,10.9,49,0
MLO,2018,3,1,1,12,115,5.6,-9,678.1,13,12,11.1,50,0
MLO,2018,3,1,1,13,84,6.8,-9,677.9,12.9,12.1,11.3,51,0
MLO,2018,3,1,1,14,35,6.1,-9,677.9,13.1,12.4,11.4,52,0
MLO,2018,3,1,1,15,32,4.7,-9,678.1,12.7,12,10.7,58,0
MLO,2018,3,1,1,16,46,5.5,-9,678.2,12.1,11.3,10.1,65,0
MLO,2018,3,1,1,17,45,5.1,-9,678.2,11.5,10.8,9.6,68,0
MLO,2018,3,1,1,18,40,3.2,-9,678.2,10.8,10.3,9.3,71,0
MLO,2018,3,1,1,19,49,2.4,-9,678.2,10.9,10.3,9.1,70,0
MLO,2018,3,1,1,20,49,2.7,-9,678.2,10.5,10,8.8,72,0
MLO,2018,3,1,1,21,65,2.2,-9,678.2,10.5,9.9,8.7,72,0
MLO,2018,3,1,1,22,77,1.2,-9,678.2,10.6,10,9,71,0
MLO,2018,3,1,1,23,70,1.7,-9,678.2,11,10.1,9.1,68,0
MLO,2018,3,1,1,24,98,2.1,-9,678.2,10.8,10,9.1,69,0
MLO,2018,3,1,1,25,101,1.5,-9,678.2,11,9.9,9,68,0
MLO,2018,3,1,1,26,57,0.5,-9,678.2,11.4,10.3,9.3,67,0
MLO,2018,3,1,1,27,49,1.4,-9,678.2,10.7,10.1,9.3,69,0
MLO,2018,3,1,1,28,45,1.1,-9,678.2,10.9,10.2,9.3,66,0
MLO,2018,3,1,1,29,46,1,-9,678.2,10.9,10.4,9.4,66,0
MLO,2018,3,1,1,30,21,0.6,-9,678.1,11,10.4,9.4,66,0
MLO,2018,3,1,1,31,19,1,-9,678.1,10.9,10.4,9.6,66,0
MLO,2018,3,1,1,32,20,1.2,-9,678.1,11.4,10.4,9.7,61,0
MLO,2018,3,1,1,33,6,1.4,-9,678.1,12.3,10.9,10,52,0
MLO,2018,3,1,1,34,340,2.7,-9,678.1,13.3,11.3,10.3,44,0
MLO,2018,3,1,1,35,5,1.5,-9,678.1,12.8,11.3,10.2,45,0
MLO,2018,3,1,1,36,352,1.3,-9,678.1,12.5,11.3,10.4,47,0
MLO,2018,3,1,1,37,330,2.8,-9,678.1,12.8,11.5,10.5,42,0
