Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
MLO,2018,5,1,0,0,226,12.9,-9,678.8,10.6,10.5,8.8,55,-99
MLO,2018,5,1,0,1,222,13.2,-9,678.7,10.7,10.6,8.9,52,0
MLO,2018,5,1,0,2,224,12.1,-9,678.6,10.7,10.6,8.8,52,0
MLO,2018,5,1,0,3,224,13.5,-9,678.8,10.6,10.5,8.8,55,0
MLO,2018,5,1,0,4,231,11.9,-9,678.7,10.7,10.6,9.1,57,0
MLO,2018,5,1,0,5,226,14.6,-9,678.6,10.7,10.7,9,58,0
MLO,2018,5,1,0,6,229,13.8,-9,678.7,10.6,10.5,8.9,57,0
MLO,2018,5,1,0,7,225,11.5,-9,678.7,10.6,10.6,9,56,0
MLO,2018,5,1,0,8,227,14.9,-9,678.5,10.7,10.6,9.1,53,0
MLO,2018,5,1,0,9,226,13,-9,678.6,10.8,10.7,9,53,0
MLO,2018,5,1,0,10,233,11.4,-9,678.7,10.8,10.6,9.2,53,0
MLO,2018,5,1,0,11,233,12.3,-9,678.8,10.9,10.7,9.2,53,0
MLO,2018,5,1,0,12,239,14.4,-9,678.8,10.8,10.6,9.1,53,0
MLO,2018,5,1,0,13,245,13.5,-9,678.8,10.7,10.4,9,54,0
MLO,2018,5,1,0,14,235,11.6,-9,678.9,10.7,10.4,8.9,56,0
MLO,2018,5,1,0,15,244,14.5,-9,678.9,10.6,10.2,8.7,60,0
MLO,2018,5,1,0,16,239,13.9,-9,678.9,10.4,10,8.4,61,0
MLO,2018,5,1,0,17,244,15.8,-9,679,10.2,9.8,8.3,63,0
MLO,2018,5,1,0,18,244,15.2,-9,679,10.1,9.7,8.2,63,0
MLO,2018,5,1,0,19,242,15.6,-9,679.1,9.7,9.3,7.8,66,0
MLO,2018,5,1,0,20,238,12.3,-9,679.1,9.4,9,7.8,67,0
MLO,2018,5,1,0,21,235,14.6,-9,679,9.4,9.1,7.7,66,0
MLO,2018,5,1,0,22,241,14.5,-9,679,9.5,9.1,7.7,59,0
MLO,2018,5,1,0,23,241,15.1,-9,679,9.5,9,7.7,58,0
MLO,2018,5,1,0,24,239,14.7,-9,679,9.3,8.9,7.5,60,0
MLO,2018,5,1,0,25,231,11.5,-9,678.9,9.2,8.8,7.4,64,0
MLO,2018,5,1,0,26,233,14.5,-9,678.8,9.1,8.8,7.3,67,0
MLO,2018,5,1,0,27,229,15.7,-9,678.7,8.9,8.7,7.2,66,0
MLO,2018,5,1,0,28,225,13,-9,678.8,9,8.9,7.4,62,0
MLO,2018,5,1,0,29,225,15.5,-9,678.8,9,9,7.4,58,0
MLO,2018,5,1,0,30,231,13.7,-9,678.7,9,8.9,7.4,58,0
MLO,2018,5,1,0,31,229,13.4,-9,678.8,9.1,9,7.5,58,0
MLO,2018,5,1,0,32,235,13.5,-9,678.8,9.2,9.2,7.7,54,0
MLO,2018,5,1,0,33,225,12.7,-9,678.7,9.5,9.3,7.9,53,0
MLO,2018,5,1,0,34,230,12.5,-9,678.7,9.6,9.4,8,54,0
MLO,2018,5,1,0,35,230,13,-9,678.6,9.7,9.6,8.2,57,0
MLO,2018,5,1,0,36,228,15,-9,678.7,9.7,9.7,8,59,0
MLO,2018,5,1,0,37,232,15.3,-9,678.8,9.6,9.5,7.8,58,0
MLO,2018,5,1,0,38,228,13.9,-9,678.8,9.5,9.4,7.9,54,0
MLO,2018,5,1,0,39,232,14.6,-9,678.8,9.6,9.5,8,48,0
MLO,2018,5,1,0,40,233,14.8,-9,678.9,9.5,9.4,8,46,0
MLO,2018,5,1,0,41,230,14.1,-9,678.8,9.7,9.6,8.3,46,0
MLO,2018,5,1,0,42,235,12.8,-9,678.8,9.8,9.6,8.1,45,0
MLO,2018,5,1,0,43,231,12.7,-9,678.8,9.7,9.6,8.1,46,0
MLO,2018,5,1,0,44,232,11.8,-9,679,9.7,9.6,8.2,45,0
MLO,2018,5,1,0,45,237,15.1,-9,678.9,9.8,9.7,8.3,43,0
MLO,2018,5,1,0,46,240,14.4,-9,678.9,9.8,9.6,8.3,40,0
MLO,2018,5,1,0,47,232,14.9,-9,678.8,9.8,9.7,8.2,38,0
MLO,2018,5,1,0,48,226,13.4,-9,678.7,9.6,9.6,8.1,39,0
MLO,2018,5,1,0,49,229,13.1,-9,679,9.5,9.5,8,41,0
MLO,2018,5,1,0,50,232,13.8,-9,679.1,9.4,9.3,7.9,45,0
MLO,2018,5,1,0,51,240,13.7,-9,679.2,9.3,9.1,7.7,48,0
MLO,2018,5,1,0,52,237,14.8,-9,679.3,9.3,9.1,7.7,48,0
MLO,2018,5,1,0,53,241,14.4,-9,679.3,9.4,9.1,7.6,48,0
MLO,2018,5,1,0,54,244,16.1,-9,679.2,9.4,9,7.5,44,0
MLO,2018,5,1,0,55,241,14.2,-9,679.1,9.4,9,7.6,45,0
MLO,2018,5,1,0,56,233,13.2,-9,679.1,9.5,9.1,7.4,48,0
MLO,2018,5,1,0,57,227,13.4,-9,679,9.2,8.9,7.3,50,0
MLO,2018,5,1,0,58,225,13.1,-9,678.9,9.3,9.1,7.4,48,0
MLO,2018,5,1,0,59,228,12.5,-9,678.9,9.3,9.1,7.3,45,0
MLO,2018,5,1,1,0,221,11.7,-9,678.9,9.3,9.1,7.3,48,0
MLO,2018,5,1,1,1,225,12,-9,679,9.4,9.1,7.5,44,0
MLO,2018,5,1,1,2,227,12.5,-9,678.9,9.3,9.2,7.5,46,0
MLO,2018,5,1,1,3,235,12.4,-9,678.9,9.5,9.2,7.9,49,0
MLO,2018,5,1,1,4,229,14.2,-9,678.9,9.5,9.4,7.9,46,0
MLO,2018,5,1,1,5,232,12.6,-9,678.9,9.6,9.4,7.9,45,0
